number,value,state,params_BATCH_SIZE,params_FUSION_BILINEAR_DIM,params_FUSION_OUTPUT_DIM,params_GRAD_CLIP_NORM,params_HEAD_DROPOUT,params_LEARNING_RATE,params_LSTM_ATTENTION_DIM,params_LSTM_DROPOUT,params_LSTM_HIDDEN_DIM,params_LSTM_NUM_LAYERS,params_SCALAR_EMBED_DIM,params_SCALAR_RES_BLOCKS,params_SCALAR_RES_DROPOUT,params_SEQUENCE_PROJECTOR_DIM,params_SEQ_LEN,params_SEQ_STEM_CHANNELS_KEY,params_SEQ_STEM_DROPOUT,params_WEIGHT_DECAY,user_attrs_artifact_root,user_attrs_config_params,user_attrs_metrics,user_attrs_model_dir
10,0.0006493808364022009,COMPLETE,32,80,512,0.5,0.172572584586496,3.6136037234870766e-05,128,0.18844249780015535,96,1,192,4,0.1897578381241214,256,2048,48-96,0.13271671495478252,7.226474000708726e-05,C:\Users\jiaotong1\5080train\update\run_logs\lstm-wavenet-5080-20260611-115457\artifacts\lstm\trial_0010,"{'SEQ_LEN': 2048, 'BATCH_SIZE': 128, 'LEARNING_RATE': 3.6136037234870766e-05, 'WEIGHT_DECAY': 7.226474000708726e-05, 'GRAD_CLIP_NORM': 0.5, 'SEQ_STEM_CHANNELS': [48, 96], 'SEQ_STEM_DROPOUT': 0.13271671495478252, 'LSTM_HIDDEN_DIM': 96, 'LSTM_NUM_LAYERS': 1, 'LSTM_DROPOUT': 0.18844249780015535, 'LSTM_ATTENTION_DIM': 128, 'SEQUENCE_PROJECTOR_DIM': 256, 'SCALAR_EMBED_DIM': 192, 'SCALAR_RES_BLOCKS': 4, 'SCALAR_RES_DROPOUT': 0.1897578381241214, 'FUSION_BILINEAR_DIM': 80, 'FUSION_OUTPUT_DIM': 512, 'HEAD_DROPOUT': 0.172572584586496}","{'best_value': 0.0006493808364022009, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0005410520311871997, 'best_val_selection_score': 0.0006493808364022009}",C:\Users\jiaotong1\5080train\update\run_logs\lstm-wavenet-5080-20260611-115457\artifacts\lstm\trial_0010\model-20260531-181258-99dfe0c9-train20260611-175654
11,0.000639390555902539,COMPLETE,32,80,512,0.8,0.10733160256067056,0.00020929334446543395,128,0.292957687715194,96,1,192,2,0.28488443101776795,384,2048,48-96,0.04825307767484499,5.1617797505738556e-05,C:\Users\jiaotong1\5080train\update\run_logs\lstm-wavenet-5080-20260611-115457\artifacts\lstm\trial_0011,"{'SEQ_LEN': 2048, 'BATCH_SIZE': 128, 'LEARNING_RATE': 0.00020929334446543395, 'WEIGHT_DECAY': 5.1617797505738556e-05, 'GRAD_CLIP_NORM': 0.8, 'SEQ_STEM_CHANNELS': [48, 96], 'SEQ_STEM_DROPOUT': 0.04825307767484499, 'LSTM_HIDDEN_DIM': 96, 'LSTM_NUM_LAYERS': 1, 'LSTM_DROPOUT': 0.292957687715194, 'LSTM_ATTENTION_DIM': 128, 'SEQUENCE_PROJECTOR_DIM': 384, 'SCALAR_EMBED_DIM': 192, 'SCALAR_RES_BLOCKS': 2, 'SCALAR_RES_DROPOUT': 0.28488443101776795, 'FUSION_BILINEAR_DIM': 80, 'FUSION_OUTPUT_DIM': 512, 'HEAD_DROPOUT': 0.10733160256067056}","{'best_value': 0.000639390555902539, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0005300755392542207, 'best_val_selection_score': 0.000639390555902539}",C:\Users\jiaotong1\5080train\update\run_logs\lstm-wavenet-5080-20260611-115457\artifacts\lstm\trial_0011\model-20260531-181258-99dfe0c9-train20260611-180653
12,0.0006636153087135376,COMPLETE,32,48,512,0.8,0.21758650266098817,3.526117917948776e-05,64,0.21429354988185403,256,2,256,3,0.24335881801851408,384,2048,24-48,0.03301951846183145,4.588971940776354e-05,C:\Users\jiaotong1\5080train\update\run_logs\lstm-wavenet-5080-20260611-115457\artifacts\lstm\trial_0012,"{'SEQ_LEN': 2048, 'BATCH_SIZE': 128, 'LEARNING_RATE': 3.526117917948776e-05, 'WEIGHT_DECAY': 4.588971940776354e-05, 'GRAD_CLIP_NORM': 0.8, 'SEQ_STEM_CHANNELS': [24, 48], 'SEQ_STEM_DROPOUT': 0.03301951846183145, 'LSTM_HIDDEN_DIM': 256, 'LSTM_NUM_LAYERS': 2, 'LSTM_DROPOUT': 0.21429354988185403, 'LSTM_ATTENTION_DIM': 64, 'SEQUENCE_PROJECTOR_DIM': 384, 'SCALAR_EMBED_DIM': 256, 'SCALAR_RES_BLOCKS': 3, 'SCALAR_RES_DROPOUT': 0.24335881801851408, 'FUSION_BILINEAR_DIM': 48, 'FUSION_OUTPUT_DIM': 512, 'HEAD_DROPOUT': 0.21758650266098817}","{'best_value': 0.0006636153087135376, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0005516198171008319, 'best_val_selection_score': 0.0006636153087135376}",C:\Users\jiaotong1\5080train\update\run_logs\lstm-wavenet-5080-20260611-115457\artifacts\lstm\trial_0012\model-20260531-181258-99dfe0c9-train20260611-181330
13,0.0007187458149901017,COMPLETE,96,48,256,0.8,0.11561191141006806,7.430380084896211e-05,64,0.20419728322854203,256,3,256,2,0.1237879878315734,256,2048,48-96,0.04181051537090946,0.00011264627023905691,C:\Users\jiaotong1\5080train\update\run_logs\lstm-wavenet-5080-20260611-115457\artifacts\lstm\trial_0013,"{'SEQ_LEN': 2048, 'BATCH_SIZE': 128, 'LEARNING_RATE': 7.430380084896211e-05, 'WEIGHT_DECAY': 0.00011264627023905691, 'GRAD_CLIP_NORM': 0.8, 'SEQ_STEM_CHANNELS': [48, 96], 'SEQ_STEM_DROPOUT': 0.04181051537090946, 'LSTM_HIDDEN_DIM': 256, 'LSTM_NUM_LAYERS': 3, 'LSTM_DROPOUT': 0.20419728322854203, 'LSTM_ATTENTION_DIM': 64, 'SEQUENCE_PROJECTOR_DIM': 256, 'SCALAR_EMBED_DIM': 256, 'SCALAR_RES_BLOCKS': 2, 'SCALAR_RES_DROPOUT': 0.1237879878315734, 'FUSION_BILINEAR_DIM': 48, 'FUSION_OUTPUT_DIM': 256, 'HEAD_DROPOUT': 0.11561191141006806}","{'best_value': 0.0007187458149901017, 'objective_metric': 'selection', 'best_val_mae_raw': 0.000602186390334117, 'best_val_selection_score': 0.0007187458149901017}",C:\Users\jiaotong1\5080train\update\run_logs\lstm-wavenet-5080-20260611-115457\artifacts\lstm\trial_0013\model-20260531-181258-99dfe0c9-train20260611-184747
14,0.0006410284141680866,COMPLETE,32,48,512,0.8,0.15910522404073943,7.334454480914309e-05,64,0.34204549231207704,192,2,128,3,0.2852729964247317,256,2048,48-96,0.0470732516541858,0.0003832048635270239,C:\Users\jiaotong1\5080train\update\run_logs\lstm-wavenet-5080-20260611-115457\artifacts\lstm\trial_0014,"{'SEQ_LEN': 2048, 'BATCH_SIZE': 128, 'LEARNING_RATE': 7.334454480914309e-05, 'WEIGHT_DECAY': 0.0003832048635270239, 'GRAD_CLIP_NORM': 0.8, 'SEQ_STEM_CHANNELS': [48, 96], 'SEQ_STEM_DROPOUT': 0.0470732516541858, 'LSTM_HIDDEN_DIM': 192, 'LSTM_NUM_LAYERS': 2, 'LSTM_DROPOUT': 0.34204549231207704, 'LSTM_ATTENTION_DIM': 64, 'SEQUENCE_PROJECTOR_DIM': 256, 'SCALAR_EMBED_DIM': 128, 'SCALAR_RES_BLOCKS': 3, 'SCALAR_RES_DROPOUT': 0.2852729964247317, 'FUSION_BILINEAR_DIM': 48, 'FUSION_OUTPUT_DIM': 512, 'HEAD_DROPOUT': 0.15910522404073943}","{'best_value': 0.0006410284141680866, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0005341632290653427, 'best_val_selection_score': 0.0006410284141680866}",C:\Users\jiaotong1\5080train\update\run_logs\lstm-wavenet-5080-20260611-115457\artifacts\lstm\trial_0014\model-20260531-181258-99dfe0c9-train20260611-195256
15,0.0006291551262668155,COMPLETE,32,64,512,0.8,0.13392932182752296,6.807488845084668e-05,64,0.14079360572731794,96,3,256,3,0.25378532773115253,256,4096,48-96,0.05918361323416638,5.718841223447505e-05,C:\Users\jiaotong1\5080train\update\run_logs\lstm-wavenet-5080-20260611-115457\artifacts\lstm\trial_0015,"{'SEQ_LEN': 4096, 'BATCH_SIZE': 128, 'LEARNING_RATE': 6.807488845084668e-05, 'WEIGHT_DECAY': 5.718841223447505e-05, 'GRAD_CLIP_NORM': 0.8, 'SEQ_STEM_CHANNELS': [48, 96], 'SEQ_STEM_DROPOUT': 0.05918361323416638, 'LSTM_HIDDEN_DIM': 96, 'LSTM_NUM_LAYERS': 3, 'LSTM_DROPOUT': 0.14079360572731794, 'LSTM_ATTENTION_DIM': 64, 'SEQUENCE_PROJECTOR_DIM': 256, 'SCALAR_EMBED_DIM': 256, 'SCALAR_RES_BLOCKS': 3, 'SCALAR_RES_DROPOUT': 0.25378532773115253, 'FUSION_BILINEAR_DIM': 64, 'FUSION_OUTPUT_DIM': 512, 'HEAD_DROPOUT': 0.13392932182752296}","{'best_value': 0.0006291551262668155, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0005239700031289665, 'best_val_selection_score': 0.0006291551262668155}",C:\Users\jiaotong1\5080train\update\run_logs\lstm-wavenet-5080-20260611-115457\artifacts\lstm\trial_0015\model-20260531-181258-99dfe0c9-train20260611-202156
16,0.0007255821460192546,COMPLETE,32,64,512,0.8,0.17531686485137238,4.994049496628148e-05,128,0.13195751727451194,96,3,192,3,0.24699403865293829,192,4096,64-128,0.06929798990730182,3.802116924149196e-05,C:\Users\jiaotong1\5080train\update\run_logs\lstm-wavenet-5080-20260611-115457\artifacts\lstm\trial_0016,"{'SEQ_LEN': 4096, 'BATCH_SIZE': 128, 'LEARNING_RATE': 4.994049496628148e-05, 'WEIGHT_DECAY': 3.802116924149196e-05, 'GRAD_CLIP_NORM': 0.8, 'SEQ_STEM_CHANNELS': [64, 128], 'SEQ_STEM_DROPOUT': 0.06929798990730182, 'LSTM_HIDDEN_DIM': 96, 'LSTM_NUM_LAYERS': 3, 'LSTM_DROPOUT': 0.13195751727451194, 'LSTM_ATTENTION_DIM': 128, 'SEQUENCE_PROJECTOR_DIM': 192, 'SCALAR_EMBED_DIM': 192, 'SCALAR_RES_BLOCKS': 3, 'SCALAR_RES_DROPOUT': 0.24699403865293829, 'FUSION_BILINEAR_DIM': 64, 'FUSION_OUTPUT_DIM': 512, 'HEAD_DROPOUT': 0.17531686485137238}","{'best_value': 0.0007255821460192546, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0006041033381782319, 'best_val_selection_score': 0.0007255821460192546}",C:\Users\jiaotong1\5080train\update\run_logs\lstm-wavenet-5080-20260611-115457\artifacts\lstm\trial_0016\model-20260531-181258-99dfe0c9-train20260611-204109
17,0.0006315121207587886,COMPLETE,64,80,512,1.0,0.23062543240597966,0.00013180083624567468,128,0.26506802532992757,256,1,192,2,0.27583260762626644,256,4096,48-96,0.06901045728222915,2.199260149163599e-05,C:\Users\jiaotong1\5080train\update\run_logs\lstm-wavenet-5080-20260611-115457\artifacts\lstm\trial_0017,"{'SEQ_LEN': 4096, 'BATCH_SIZE': 128, 'LEARNING_RATE': 0.00013180083624567468, 'WEIGHT_DECAY': 2.199260149163599e-05, 'GRAD_CLIP_NORM': 1.0, 'SEQ_STEM_CHANNELS': [48, 96], 'SEQ_STEM_DROPOUT': 0.06901045728222915, 'LSTM_HIDDEN_DIM': 256, 'LSTM_NUM_LAYERS': 1, 'LSTM_DROPOUT': 0.26506802532992757, 'LSTM_ATTENTION_DIM': 128, 'SEQUENCE_PROJECTOR_DIM': 256, 'SCALAR_EMBED_DIM': 192, 'SCALAR_RES_BLOCKS': 2, 'SCALAR_RES_DROPOUT': 0.27583260762626644, 'FUSION_BILINEAR_DIM': 80, 'FUSION_OUTPUT_DIM': 512, 'HEAD_DROPOUT': 0.23062543240597966}","{'best_value': 0.0006315121207587886, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0005231485367578882, 'best_val_selection_score': 0.0006315121207587886}",C:\Users\jiaotong1\5080train\update\run_logs\lstm-wavenet-5080-20260611-115457\artifacts\lstm\trial_0017\model-20260531-181258-99dfe0c9-train20260611-205705
18,0.0006382383060284883,COMPLETE,64,80,512,1.0,0.2680928743451806,8.477729462331941e-05,192,0.297289422126185,96,1,192,2,0.18470505371177104,256,4096,24-48,0.0680219205088238,3.636858176867703e-05,C:\Users\jiaotong1\5080train\update\run_logs\lstm-wavenet-5080-20260611-115457\artifacts\lstm\trial_0018,"{'SEQ_LEN': 4096, 'BATCH_SIZE': 128, 'LEARNING_RATE': 8.477729462331941e-05, 'WEIGHT_DECAY': 3.636858176867703e-05, 'GRAD_CLIP_NORM': 1.0, 'SEQ_STEM_CHANNELS': [24, 48], 'SEQ_STEM_DROPOUT': 0.0680219205088238, 'LSTM_HIDDEN_DIM': 96, 'LSTM_NUM_LAYERS': 1, 'LSTM_DROPOUT': 0.297289422126185, 'LSTM_ATTENTION_DIM': 192, 'SEQUENCE_PROJECTOR_DIM': 256, 'SCALAR_EMBED_DIM': 192, 'SCALAR_RES_BLOCKS': 2, 'SCALAR_RES_DROPOUT': 0.18470505371177104, 'FUSION_BILINEAR_DIM': 80, 'FUSION_OUTPUT_DIM': 512, 'HEAD_DROPOUT': 0.2680928743451806}","{'best_value': 0.0006382383060284883, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0005273197240488739, 'best_val_selection_score': 0.0006382383060284883}",C:\Users\jiaotong1\5080train\update\run_logs\lstm-wavenet-5080-20260611-115457\artifacts\lstm\trial_0018\model-20260531-181258-99dfe0c9-train20260611-213722
19,0.0006476224310402347,COMPLETE,64,80,512,0.5,0.25676184896855936,0.0003364025205662383,128,0.31163647126051713,256,2,192,2,0.24615336178803524,256,1024,48-96,0.1210462048759122,7.998282299351469e-06,C:\Users\jiaotong1\5080train\update\run_logs\lstm-wavenet-5080-20260611-115457\artifacts\lstm\trial_0019,"{'SEQ_LEN': 1024, 'BATCH_SIZE': 128, 'LEARNING_RATE': 0.0003364025205662383, 'WEIGHT_DECAY': 7.998282299351469e-06, 'GRAD_CLIP_NORM': 0.5, 'SEQ_STEM_CHANNELS': [48, 96], 'SEQ_STEM_DROPOUT': 0.1210462048759122, 'LSTM_HIDDEN_DIM': 256, 'LSTM_NUM_LAYERS': 2, 'LSTM_DROPOUT': 0.31163647126051713, 'LSTM_ATTENTION_DIM': 128, 'SEQUENCE_PROJECTOR_DIM': 256, 'SCALAR_EMBED_DIM': 192, 'SCALAR_RES_BLOCKS': 2, 'SCALAR_RES_DROPOUT': 0.24615336178803524, 'FUSION_BILINEAR_DIM': 80, 'FUSION_OUTPUT_DIM': 512, 'HEAD_DROPOUT': 0.25676184896855936}","{'best_value': 0.0006476224310402347, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0005360796767235386, 'best_val_selection_score': 0.0006476224310402347}",C:\Users\jiaotong1\5080train\update\run_logs\lstm-wavenet-5080-20260611-115457\artifacts\lstm\trial_0019\model-20260531-181258-99dfe0c9-train20260611-214824
