number,value,state,params_DEPTH,params_ITERATIONS,params_L2_LEAF_REG,params_LEARNING_RATE,params_SUBSAMPLE,params_WAVEFORM_FEATURE_COUNT,user_attrs_artifact_root,user_attrs_config_params,user_attrs_metrics,user_attrs_model_dir
18,0.0032249470175816928,COMPLETE,4,4500,1.4144628365622522,0.0514209763274518,0.7829592053986173,256,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0018,"{'ITERATIONS': 4500, 'LEARNING_RATE': 0.0514209763274518, 'DEPTH': 4, 'L2_LEAF_REG': 1.4144628365622522, 'SUBSAMPLE': 0.7829592053986173, 'WAVEFORM_FEATURE_COUNT': 256}","{'Samples': 3420, 'R2': 0.7935030827161552, 'MAE': 0.0006577101857911333, 'RMSE': 0.0012224554475712404, 'MAPE': 26.837388568154044, 'Bias': -0.0003833004532763976, 'SelectionScore': 0.0032249470175816928}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0018\model-20260531-181258-99dfe0c9-train20260611-022708
19,0.0032371566263346995,COMPLETE,8,2250,1.2125395841413318,0.05798089048604106,0.7607259538808779,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0019,"{'ITERATIONS': 2250, 'LEARNING_RATE': 0.05798089048604106, 'DEPTH': 8, 'L2_LEAF_REG': 1.2125395841413318, 'SUBSAMPLE': 0.7607259538808779, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.7935637760947759, 'MAE': 0.0006326434526808208, 'RMSE': 0.001222275782894084, 'MAPE': 24.48492623900951, 'Bias': -0.00037894429214931243, 'SelectionScore': 0.0032371566263346995}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0019\model-20260531-181258-99dfe0c9-train20260611-022734
20,0.0032823081642539037,COMPLETE,8,1000,1.2938595076694213,0.028770728582048065,0.8998660954543402,256,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0020,"{'ITERATIONS': 1000, 'LEARNING_RATE': 0.028770728582048065, 'DEPTH': 8, 'L2_LEAF_REG': 1.2938595076694213, 'SUBSAMPLE': 0.8998660954543402, 'WAVEFORM_FEATURE_COUNT': 256}","{'Samples': 3420, 'R2': 0.7899036639345874, 'MAE': 0.000641603631784324, 'RMSE': 0.0012330636444452853, 'MAPE': 25.372809144275696, 'Bias': -0.000384927854367178, 'SelectionScore': 0.0032823081642539037}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0020\model-20260531-181258-99dfe0c9-train20260611-022814
21,0.0032263310453720384,COMPLETE,4,1500,1.0427861404115466,0.058350692740718996,0.6160018445257858,256,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0021,"{'ITERATIONS': 1500, 'LEARNING_RATE': 0.058350692740718996, 'DEPTH': 4, 'L2_LEAF_REG': 1.0427861404115466, 'SUBSAMPLE': 0.6160018445257858, 'WAVEFORM_FEATURE_COUNT': 256}","{'Samples': 3420, 'R2': 0.7960245914192218, 'MAE': 0.0006436486708374806, 'RMSE': 0.0012149688957509915, 'MAPE': 27.05492976791535, 'Bias': -0.00037385721940448184, 'SelectionScore': 0.0032263310453720384}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0021\model-20260531-181258-99dfe0c9-train20260611-022841
22,0.00349489880715344,COMPLETE,9,2500,1.38478798837557,0.0646003132812033,0.7837936690879443,256,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0022,"{'ITERATIONS': 2500, 'LEARNING_RATE': 0.0646003132812033, 'DEPTH': 9, 'L2_LEAF_REG': 1.38478798837557, 'SUBSAMPLE': 0.7837936690879443, 'WAVEFORM_FEATURE_COUNT': 256}","{'Samples': 3420, 'R2': 0.7643977516757295, 'MAE': 0.0006685550424574146, 'RMSE': 0.0013057678432936647, 'MAPE': 27.700024438454758, 'Bias': -0.00036805605414040745, 'SelectionScore': 0.00349489880715344}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0022\model-20260531-181258-99dfe0c9-train20260611-022851
23,0.0035286214950100243,COMPLETE,9,4000,1.3696168398443962,0.03870538612654168,0.6101054615854803,384,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0023,"{'ITERATIONS': 4000, 'LEARNING_RATE': 0.03870538612654168, 'DEPTH': 9, 'L2_LEAF_REG': 1.3696168398443962, 'SUBSAMPLE': 0.6101054615854803, 'WAVEFORM_FEATURE_COUNT': 384}","{'Samples': 3420, 'R2': 0.7579892228842013, 'MAE': 0.000682247452017856, 'RMSE': 0.0013234075471231033, 'MAPE': 26.129838406215537, 'Bias': -0.00041086089705839304, 'SelectionScore': 0.0035286214950100243}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0023\model-20260531-181258-99dfe0c9-train20260611-023040
24,0.0035431919952971314,COMPLETE,9,1500,1.6827888277611955,0.07917008932017806,0.6286925616195469,64,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0024,"{'ITERATIONS': 1500, 'LEARNING_RATE': 0.07917008932017806, 'DEPTH': 9, 'L2_LEAF_REG': 1.6827888277611955, 'SUBSAMPLE': 0.6286925616195469, 'WAVEFORM_FEATURE_COUNT': 64}","{'Samples': 3420, 'R2': 0.7511283400339983, 'MAE': 0.0006942868001940111, 'RMSE': 0.0013420354136875843, 'MAPE': 26.212167363573645, 'Bias': -0.00044431479541225073, 'SelectionScore': 0.0035431919952971314}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0024\model-20260531-181258-99dfe0c9-train20260611-023422
25,0.003165342410021518,COMPLETE,6,3500,1.285043108539957,0.028557805913249287,0.6964335424398345,256,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0025,"{'ITERATIONS': 3500, 'LEARNING_RATE': 0.028557805913249287, 'DEPTH': 6, 'L2_LEAF_REG': 1.285043108539957, 'SUBSAMPLE': 0.6964335424398345, 'WAVEFORM_FEATURE_COUNT': 256}","{'Samples': 3420, 'R2': 0.8028084390111068, 'MAE': 0.0006197519817242051, 'RMSE': 0.001194594239987889, 'MAPE': 24.73435247171845, 'Bias': -0.00038214438023284234, 'SelectionScore': 0.003165342410021518}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0025\model-20260531-181258-99dfe0c9-train20260611-023456
26,0.003482182155125424,COMPLETE,6,2750,1.1692942090255285,0.039219062975240346,0.6862752069925132,64,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0026,"{'ITERATIONS': 2750, 'LEARNING_RATE': 0.039219062975240346, 'DEPTH': 6, 'L2_LEAF_REG': 1.1692942090255285, 'SUBSAMPLE': 0.6862752069925132, 'WAVEFORM_FEATURE_COUNT': 64}","{'Samples': 3420, 'R2': 0.7618392306890303, 'MAE': 0.0006990005797149146, 'RMSE': 0.0013128386871166253, 'MAPE': 28.649058018103506, 'Bias': -0.00039268230869135567, 'SelectionScore': 0.003482182155125424}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0026\model-20260531-181258-99dfe0c9-train20260611-023532
27,0.0034169638335877347,COMPLETE,7,4000,2.3784605264703695,0.030564047039690966,0.7331045557415904,256,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0027,"{'ITERATIONS': 4000, 'LEARNING_RATE': 0.030564047039690966, 'DEPTH': 7, 'L2_LEAF_REG': 2.3784605264703695, 'SUBSAMPLE': 0.7331045557415904, 'WAVEFORM_FEATURE_COUNT': 256}","{'Samples': 3420, 'R2': 0.7684592162240318, 'MAE': 0.0006811960460034944, 'RMSE': 0.0012944640791097012, 'MAPE': 25.275550167204397, 'Bias': -0.00045178738164116094, 'SelectionScore': 0.0034169638335877347}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0027\model-20260531-181258-99dfe0c9-train20260611-023549
