feature,importance
structure_to_wave_period_ratio,80.61956010074032
wave_cav,19.380439899259688
floor_mass,0.0
k_base_1_4,0.0
Fy_add,0.0
period_1_sec,0.0
num_floors,0.0
wave_pga,0.0
wave_rms,0.0
wave_mean_abs,0.0
wave_arias_proxy,0.0
wave_duration_5_95,0.0
wave_zero_crossing_rate,0.0
wave_dominant_freq,0.0
floor_height,0.0
wave_spectral_centroid,0.0
wave_predominant_period,0.0
log1p_period_1_sec,0.0
wave_intensity_score,0.0
log1p_wave_rms,0.0
log1p_wave_mean_abs,0.0
log1p_wave_cav,0.0
log1p_wave_pga,0.0
log1p_wave_arias_proxy,0.0
log1p_wave_duration_5_95,0.0
log1p_wave_dominant_freq,0.0
log1p_wave_zero_crossing_rate,0.0
log1p_wave_spectral_centroid,0.0
log1p_wave_predominant_period,0.0
log1p_wave_intensity_score,0.0
wave_to_structure_period_ratio,0.0
wave_structure_period_log_gap,0.0
wave_dominant_freq_x_period,0.0
wave_spectral_centroid_x_period,0.0
wave_pga_x_period,0.0
wave_cav_x_period,0.0
wave_arias_proxy_x_period,0.0
wave_intensity_score_x_period,0.0
inv_k_base_1_4,0.0
inv_Fy_add,0.0
mass_to_stiffness,0.0
height_to_stiffness,0.0
period_squared,0.0
num_floors_x_period,0.0
floor_mass_x_period,0.0
floor_height_x_period,0.0
flexibility_x_period,0.0
strength_inverse_x_period,0.0
damper_story_1,0.0
damper_story_2,0.0
damper_story_3,0.0
damper_story_4,0.0
damper_story_5,0.0
damper_story_6,0.0
damper_story_7,0.0
damper_install_count,0.0
damper_install_ratio,0.0
damper_sparse_ratio,0.0
tail_risk_proxy,0.0
log1p_tail_risk_proxy,0.0
wave_intensity_tail_risk,0.0
wave_arias_tail_risk,0.0
wave_cav_tail_risk,0.0
