epoch,train_loss,val_selection_score,Samples,R2,MAE,RMSE,MAPE,Bias
1,0.3534748576978045,0.003677111771662047,3420,0.7014682612934513,0.000916202703967152,0.0014698448974865305,46.39264032200783,-0.0005172660942050684
2,0.16263216560861024,0.00357819063121569,3420,0.7218890219900682,0.0008767078275195273,0.0014186828543681271,40.53186478097146,-0.000599164979036237
3,0.14134964942223183,0.003307353151416942,3420,0.764854921231239,0.0007833620419249424,0.0013045003528973254,35.27666978949244,-0.0005222272226558887
4,0.1291319403882683,0.003405008388720023,3420,0.7566701941437957,0.0007902664399929023,0.0013270091233568873,33.21707037122452,-0.000576913176516397
5,0.11957063942553917,0.003553127320530935,3420,0.7372288399678661,0.0008086912281253834,0.0013790026573043742,34.392482567011236,-0.0005903560073183176
6,0.11193119130282043,0.0036226725139528113,3420,0.7271042513917849,0.0008151370376135568,0.0014053180967886914,31.94282323996884,-0.0006264467585673075
7,0.10498742348836569,0.0036521275941131907,3420,0.7237222976510189,0.0008055657360817971,0.0014139992258113674,32.90303550996316,-0.0005917179070700231
8,0.10145879002986406,0.0034397380477779954,3420,0.7553353365561344,0.0007768724889727799,0.001330643995563925,31.67962432928119,-0.0005748455194159824
9,0.0977200367267806,0.0035626122301924703,3420,0.7339212951487426,0.0008143917600046356,0.0013876543865242181,32.08902743323152,-0.0006684775969117989
10,0.09311250452303368,0.003367733648964166,3420,0.7667128081360681,0.0007517834117020596,0.0012993366888307358,31.571190541900727,-0.000544979201696385
11,0.08929278782939684,0.003380167892588039,3420,0.7670710129293343,0.0007465721689829695,0.0012983387612845157,32.16463354030427,-0.0005066062289358132
12,0.08737556486568598,0.0035236008025949154,3420,0.7446860381383792,0.0007860535265330438,0.0013592944270228282,31.5095857371437,-0.0005963891857839755
13,0.07871536709990772,0.0033328985786558237,3420,0.7704878531533813,0.0007512485682070414,0.0012887809013430729,31.18974151034211,-0.0005509508495880409
14,0.07586676324456,0.003412940203680809,3420,0.7579578144217924,0.0007759428969602835,0.001323493421083243,32.169546204813834,-0.0005468231997777802
15,0.0744924308801385,0.0034528865026762045,3420,0.7577005804651167,0.0007564638415910437,0.0013241965155513708,30.67450538982793,-0.0005287218861453088
16,0.07313299577239012,0.0033501819089627907,3420,0.767892448270807,0.0007592571165432022,0.0012960474121357789,31.911712051615098,-0.000509846527893221
17,0.07218364006328754,0.0033068596981572487,3420,0.771339449575846,0.0007486947911150586,0.001286387692113741,30.7849712839474,-0.0005026187863853659
18,0.07117216403582534,0.0033798361704551385,3420,0.765995588073744,0.000748329961373385,0.0013013325017260714,29.06243723510798,-0.0005499651545047841
19,0.06891463279564608,0.0032890137869886816,3420,0.7731274889122595,0.0007686025586676088,0.0012813482877218618,32.82965985790543,-0.000499469506505262
20,0.06899638195903465,0.0032313914922826766,3420,0.7823959728618047,0.0007373400501974883,0.001254901730336158,32.044002999975284,-0.0005002177105169424
21,0.06689563356727636,0.003216773172616808,3420,0.7875417574470183,0.000718015216584558,0.0012399753343527223,29.514832782984133,-0.0004796702258438964
22,0.06665653077807414,0.003210702028210235,3420,0.7852377502339161,0.0007304441336715592,0.0012466806716861087,29.81781320685132,-0.0004917905285550558
23,0.06622183360325556,0.0033513106677914564,3420,0.7694195774228775,0.0007492599365065356,0.0012917767667696093,30.619906322162816,-0.0004888064032327918
24,0.06473396165391146,0.0033205302381492923,3420,0.775181837089056,0.0007191937504715056,0.001275533740953078,28.843578943640278,-0.0004715047476613683
25,0.06343483480843908,0.003404065991311764,3420,0.7618041109361396,0.0007609932487442069,0.001312935480704397,30.29050473350639,-0.000522866635278647
26,0.061730309701855605,0.0033445054689146035,3420,0.7683321464512607,0.0007580377532314731,0.0012948192318655478,31.76796443118436,-0.0005759963161318671
27,0.06172872771473821,0.003233151132645762,3420,0.7859875072309572,0.0007155071393652987,0.0012445026241597193,28.098043313010002,-0.0004855556869204105
28,0.06098807347634347,0.003421952963490546,3420,0.7591755198589273,0.0007605425226300743,0.001320159999570654,29.861114898727017,-0.0005207617535129019
29,0.06081660460661892,0.0033928348044857375,3420,0.761901449250053,0.0007762396700168769,0.001312667188952304,31.488602617237138,-0.0005738809900587874
30,0.058844536853499475,0.003522191920227823,3420,0.7451661725897802,0.0007853227433722835,0.0013580157049291066,31.327313967179105,-0.0005570508516593917
31,0.05908982124674756,0.0034890508157254217,3420,0.7486026157173927,0.0007822782644367893,0.0013488281815023607,31.963291069395243,-0.0005622438679861181
32,0.05445134817596847,0.0033397073545869496,3420,0.7709252341820794,0.000742130414747216,0.00128755230160362,28.93928174024313,-0.0005288029098541333
33,0.054238133166354216,0.0033376876877218996,3420,0.7718171144006176,0.0007340858240764668,0.001285043377617591,28.21634255162084,-0.0005070646409267655
34,0.05323247264338468,0.0034114710019359047,3420,0.7612174955912442,0.0007546840942476412,0.0013145511981123839,29.77737526261637,-0.0005030483640195349
35,0.05213919761317882,0.0033796835442204635,3420,0.7664656056815282,0.0007463736423284915,0.0013000249267311136,29.62840699430944,-0.0005232703679029972
36,0.051700769588373406,0.003396526429655671,3420,0.7618897648729555,0.0007517351161723696,0.0013126993972757612,28.98916242269132,-0.0005100532331053653
37,0.05215922865286633,0.0033677727710140063,3420,0.7648881197550497,0.0007569207218239172,0.0013044082629098737,30.398038682756816,-0.0005516429162039378
38,0.05071060250543995,0.0034123684691700767,3420,0.7571978198693086,0.0007737482284614427,0.0013255696282806243,31.191355934606374,-0.0005517806983372823
39,0.050780117257414846,0.003348008391346208,3420,0.76805679855648,0.0007433615433748255,0.00129558847945483,28.614006697599088,-0.0005007934543124721
40,0.0507790481801849,0.003333582707629946,3420,0.7711995161795717,0.0007467353793267834,0.0012867812472477753,29.723012990111584,-0.0004974622148411764
41,0.04858930143830927,0.0033866438527939847,3420,0.7629378924271759,0.0007606795756505322,0.0013098070523648144,29.85563717216775,-0.000524633849431799
42,0.04809202574395084,0.0034833507150444616,3420,0.750103317898307,0.0007746124625249083,0.0013447962794402519,30.10552063121136,-0.0005130942089122351
43,0.048439894272100346,0.0033859330736317117,3420,0.7623007101580354,0.0007552404614655564,0.001311566139434518,29.283845069458323,-0.0005174947394879112
44,0.047511506094806366,0.0033492205215716305,3420,0.7682685674167682,0.0007475232111028777,0.001294996895075836,28.855550627941042,-0.0005203135087551471
45,0.04809976916050152,0.0033527297469631806,3420,0.7660061305383301,0.0007621442641130558,0.001301303187307967,30.265103958488517,-0.0005193828658940481
46,0.047270493443535795,0.003395442548340772,3420,0.7599808316456145,0.0007651884886174073,0.0013179508581327775,29.834942074485777,-0.0005258881810512025
47,0.047506756345688,0.0033381104076893823,3420,0.767062273593728,0.0007610755520665688,0.0012983631174453376,30.12269782224964,-0.0005182617564430224
