number,value,state,params_MAX_DEPTH,params_MAX_FEATURES,params_MIN_SAMPLES_LEAF,params_MIN_SAMPLES_SPLIT,params_N_ESTIMATORS,params_WAVEFORM_FEATURE_COUNT,user_attrs_artifact_root,user_attrs_config_params,user_attrs_metrics,user_attrs_model_dir
18,0.004175462207953418,COMPLETE,20.0,log2,2,5,700,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0018,"{'N_ESTIMATORS': 700, 'MAX_DEPTH': 20, 'MIN_SAMPLES_LEAF': 2, 'MIN_SAMPLES_SPLIT': 5, 'MAX_FEATURES': 'log2', 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.6602065923133255, 'MAE': 0.000888309686372621, 'RMSE': 0.001568136011661795, 'MAPE': 47.55943735727202, 'Bias': -0.00027723506192207996, 'SelectionScore': 0.004175462207953418}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0018\model-20260531-181258-99dfe0c9-train20260611-011323
19,0.0041536814242504215,COMPLETE,6.0,0.5,3,4,1100,64,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0019,"{'N_ESTIMATORS': 1100, 'MAX_DEPTH': 6, 'MIN_SAMPLES_LEAF': 3, 'MIN_SAMPLES_SPLIT': 4, 'MAX_FEATURES': 0.5, 'WAVEFORM_FEATURE_COUNT': 64}","{'Samples': 3420, 'R2': 0.6669328640098392, 'MAE': 0.0008866549877899022, 'RMSE': 0.0015525376654292353, 'MAPE': 43.23615070200571, 'Bias': -0.00026912254072041235, 'SelectionScore': 0.0041536814242504215}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0019\model-20260531-181258-99dfe0c9-train20260611-011332
20,0.003364841542218115,COMPLETE,16.0,1.0,6,16,1000,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0020,"{'N_ESTIMATORS': 1000, 'MAX_DEPTH': 16, 'MIN_SAMPLES_LEAF': 6, 'MIN_SAMPLES_SPLIT': 16, 'MAX_FEATURES': 1.0, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.7789915496463283, 'MAE': 0.0007014981062059244, 'RMSE': 0.001264680125388115, 'MAPE': 29.35944802903209, 'Bias': -0.0003161967473737051, 'SelectionScore': 0.003364841542218115}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0020\model-20260531-181258-99dfe0c9-train20260611-011407
21,0.0033719625445212146,COMPLETE,12.0,0.5,6,4,1100,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0021,"{'N_ESTIMATORS': 1100, 'MAX_DEPTH': 12, 'MIN_SAMPLES_LEAF': 6, 'MIN_SAMPLES_SPLIT': 4, 'MAX_FEATURES': 0.5, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.7814699582007649, 'MAE': 0.0006808255086038946, 'RMSE': 0.0012575690149321064, 'MAPE': 29.380570639085402, 'Bias': -0.00028777195090659975, 'SelectionScore': 0.0033719625445212146}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0021\model-20260531-181258-99dfe0c9-train20260611-011654
22,0.004416349433921528,COMPLETE,16.0,1.0,7,7,800,384,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0022,"{'N_ESTIMATORS': 800, 'MAX_DEPTH': 16, 'MIN_SAMPLES_LEAF': 7, 'MIN_SAMPLES_SPLIT': 7, 'MAX_FEATURES': 1.0, 'WAVEFORM_FEATURE_COUNT': 384}","{'Samples': 3420, 'R2': 0.6223200462884155, 'MAE': 0.0008836741244681834, 'RMSE': 0.0016532488184617783, 'MAPE': 34.29786294734122, 'Bias': -0.00040978732530255014, 'SelectionScore': 0.004416349433921528}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0022\model-20260531-181258-99dfe0c9-train20260611-011814
23,0.003311199331535015,COMPLETE,16.0,0.5,8,2,700,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0023,"{'N_ESTIMATORS': 700, 'MAX_DEPTH': 16, 'MIN_SAMPLES_LEAF': 8, 'MIN_SAMPLES_SPLIT': 2, 'MAX_FEATURES': 0.5, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.7888468653442963, 'MAE': 0.000669412936171369, 'RMSE': 0.0012361609506241328, 'MAPE': 28.668436727720398, 'Bias': -0.00029591056516767436, 'SelectionScore': 0.003311199331535015}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0023\model-20260531-181258-99dfe0c9-train20260611-012209
24,0.0037333178971989283,COMPLETE,8.0,0.5,2,6,900,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0024,"{'N_ESTIMATORS': 900, 'MAX_DEPTH': 8, 'MIN_SAMPLES_LEAF': 2, 'MIN_SAMPLES_SPLIT': 6, 'MAX_FEATURES': 0.5, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.7329551816570173, 'MAE': 0.000756706619511916, 'RMSE': 0.0013901713427278354, 'MAPE': 34.06942619465102, 'Bias': -0.00027793431423741666, 'SelectionScore': 0.0037333178971989283}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0024\model-20260531-181258-99dfe0c9-train20260611-012308
25,0.00386542363641048,COMPLETE,16.0,0.7,5,2,400,384,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0025,"{'N_ESTIMATORS': 400, 'MAX_DEPTH': 16, 'MIN_SAMPLES_LEAF': 5, 'MIN_SAMPLES_SPLIT': 2, 'MAX_FEATURES': 0.7, 'WAVEFORM_FEATURE_COUNT': 384}","{'Samples': 3420, 'R2': 0.7128478221873448, 'MAE': 0.0007937996804993582, 'RMSE': 0.0014415586323575282, 'MAPE': 32.7690999718137, 'Bias': -0.00035023456491818086, 'SelectionScore': 0.00386542363641048}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0025\model-20260531-181258-99dfe0c9-train20260611-012352
26,0.004476180515912976,COMPLETE,10.0,log2,6,5,600,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0026,"{'N_ESTIMATORS': 600, 'MAX_DEPTH': 10, 'MIN_SAMPLES_LEAF': 6, 'MIN_SAMPLES_SPLIT': 5, 'MAX_FEATURES': 'log2', 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.6113030336955451, 'MAE': 0.0009575302548867709, 'RMSE': 0.0016771883205154595, 'MAPE': 55.97379042096971, 'Bias': -0.00025723513950566876, 'SelectionScore': 0.004476180515912976}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0026\model-20260531-181258-99dfe0c9-train20260611-012519
27,0.0032952411910568678,COMPLETE,20.0,0.5,5,5,900,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0027,"{'N_ESTIMATORS': 900, 'MAX_DEPTH': 20, 'MIN_SAMPLES_LEAF': 5, 'MIN_SAMPLES_SPLIT': 5, 'MAX_FEATURES': 0.5, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.7906918420016043, 'MAE': 0.0006665506391147456, 'RMSE': 0.0012307485471195583, 'MAPE': 28.62841893886143, 'Bias': -0.000290074233392564, 'SelectionScore': 0.0032952411910568678}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0027\model-20260531-181258-99dfe0c9-train20260611-012524
