file_name,pga,scale_factor,effective_pga,rms,mean_abs,cav,arias_proxy,duration_5_95,zero_crossing_rate,dominant_freq,spectral_centroid,predominant_period
RSN93_SFERN_WND143.txt,0.1012071,1.9810590701241744,0.2004972434159643,0.0192762966769995,0.0137429269612708,0.27499596849503,0.0074352280277298,13.12,0.078,0.2498750624687656,5.459152659782991,4.002
RSN152_COYOTELK_SJ3067.txt,0.1015253,1.9858419038880852,0.201613195044809,0.0138061429805306,0.0086468503857326,0.17302347621851,0.003814097775817,7.43,0.0735,1.5992003998001,8.035353989716521,0.6253125
RSN400_COALINGA_C-OLP360.txt,0.1015591,2.0,0.2031182,0.0179033472923131,0.0100114172386346,0.20032845894508,0.0064138021838261,7.97,0.094,3.748125937031484,7.543297772419337,0.2668
RSN21409_51207740_CBRHNE.txt,0.10184417,1.9978442576898423,0.2034687902136881,0.0083284112064688,0.0025927798781487,0.0518815253617572,0.0013879422888129,1.36,0.0815,2.198900549725137,5.699246291117821,0.4547727272727273
RSN601_WHITTIER.A_A-BRL040.txt,0.1021242,2.0,0.2042484,0.0190038084591113,0.0127388732175607,0.25490485308339,0.0072265061663713,11.58,0.1005,4.697651174412793,7.085752696424415,0.2128723404255319
RSN4362_UBMARCHE.P_E-AAL018.txt,0.1029164,2.0,0.2058328,0.0145779628685461,0.0067669512280551,0.135406694073384,0.0042524651979481,3.79,0.107,3.948025987006496,5.879946350755411,0.2532911392405063
RSN318_WESMORL_SUP135.txt,0.1033367,2.0,0.2066734,0.01622516826351,0.0096914803274972,0.19392652135322,0.005267754264436,7.92,0.092,2.348825587206397,7.423423838617402,0.4257446808510639
RSN814_GREECE_L-EDE-NS.txt,0.1034103,2.0,0.2068206,0.0264506622342968,0.0171414159808895,0.3429997337775999,0.0139997470279834,7.15,0.0475,1.5492253873063468,4.71110242175842,0.645483870967742
RSN4258_ANCONA.P_N-ANP000.txt,0.103452,2.0,0.206904,0.0100931083730199,0.0052496349923911,0.1050451961977469,0.0020384354409567,5.42,0.081,2.848575712143928,8.667530415551425,0.3510526315789474
RSN804_LOMAP_SSF205.txt,0.1043768,2.0,0.2087536,0.0158140515271103,0.009693186242808,0.19396065671859,0.005004185356299,9.19,0.0895,1.0994502748625687,6.767368361285548,0.9095454545454544
RSN512_PALMSPR_ATL270.txt,0.1047153,2.0,0.2094306,0.0139164933868094,0.0076458193563248,0.15299284532006,0.003875312451584,5.55,0.163,1.5992003998001,8.418875536284116,0.6253125
RSN357_COALINGA.H_H-SC3090.txt,0.1053828,2.0,0.2107656,0.0200065425416776,0.0134673403877711,0.2694814811593,0.0080092375068838,9.53,0.109,2.2488755622188905,6.454366249123071,0.4446666666666666
