number,value,state,params_BATCH_SIZE,params_FUSION_BILINEAR_DIM,params_FUSION_OUTPUT_DIM,params_GRAD_CLIP_NORM,params_HEAD_DROPOUT,params_LEARNING_RATE,params_SCALAR_EMBED_DIM,params_SCALAR_RES_BLOCKS,params_SCALAR_RES_DROPOUT,params_SEQUENCE_PROJECTOR_DIM,params_SEQ_LEN,params_WAVENET_ATTENTION_DIM,params_WAVENET_DILATIONS_KEY,params_WAVENET_DILATION_CYCLES,params_WAVENET_DROPOUT,params_WAVENET_KERNEL_SIZE,params_WAVENET_RESIDUAL_CHANNELS,params_WAVENET_SKIP_CHANNELS,params_WEIGHT_DECAY,user_attrs_artifact_root,user_attrs_config_params,user_attrs_metrics,user_attrs_model_dir
10,0.0006060673861426866,COMPLETE,96,80,512,0.8,0.10985355191834564,0.00015246120860731824,256,3,0.1639982013723472,256,2048,64,1-2-4-8-16-32-64,2,0.10942825456582399,3,48,128,8.768276960436032e-06,C:\Users\jiaotong1\5080train\update\run_logs\wavenet-5080-clean-20260612-021847\artifacts\wavenet\trial_0010,"{'SEQ_LEN': 2048, 'BATCH_SIZE': 96, 'LEARNING_RATE': 0.00015246120860731824, 'WEIGHT_DECAY': 8.768276960436032e-06, 'GRAD_CLIP_NORM': 0.8, 'WAVENET_RESIDUAL_CHANNELS': 48, 'WAVENET_SKIP_CHANNELS': 128, 'WAVENET_KERNEL_SIZE': 3, 'WAVENET_DILATION_CYCLES': 2, 'WAVENET_DILATIONS_PER_CYCLE': [1, 2, 4, 8, 16, 32, 64], 'WAVENET_DROPOUT': 0.10942825456582399, 'WAVENET_ATTENTION_DIM': 64, 'SEQUENCE_PROJECTOR_DIM': 256, 'SCALAR_EMBED_DIM': 256, 'SCALAR_RES_BLOCKS': 3, 'SCALAR_RES_DROPOUT': 0.1639982013723472, 'FUSION_BILINEAR_DIM': 80, 'FUSION_OUTPUT_DIM': 512, 'HEAD_DROPOUT': 0.10985355191834564}","{'best_value': 0.0006060673861426866, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0005004144677684176, 'best_val_selection_score': 0.0006060673861426866}",C:\Users\jiaotong1\5080train\update\run_logs\wavenet-5080-clean-20260612-021847\artifacts\wavenet\trial_0010\model-20260531-181258-99dfe0c9-train20260612-120052
11,0.0006382218905787299,COMPLETE,96,80,512,0.8,0.19422822202647982,0.00013006880607254265,256,4,0.15882099439107625,256,2048,64,1-2-4-8-16-32-64-128-256,2,0.08155620326239786,3,32,128,1.3646899257176286e-05,C:\Users\jiaotong1\5080train\update\run_logs\wavenet-5080-clean-20260612-021847\artifacts\wavenet\trial_0011,"{'SEQ_LEN': 2048, 'BATCH_SIZE': 96, 'LEARNING_RATE': 0.00013006880607254265, 'WEIGHT_DECAY': 1.3646899257176286e-05, 'GRAD_CLIP_NORM': 0.8, 'WAVENET_RESIDUAL_CHANNELS': 32, 'WAVENET_SKIP_CHANNELS': 128, 'WAVENET_KERNEL_SIZE': 3, 'WAVENET_DILATION_CYCLES': 2, 'WAVENET_DILATIONS_PER_CYCLE': [1, 2, 4, 8, 16, 32, 64, 128, 256], 'WAVENET_DROPOUT': 0.08155620326239786, 'WAVENET_ATTENTION_DIM': 64, 'SEQUENCE_PROJECTOR_DIM': 256, 'SCALAR_EMBED_DIM': 256, 'SCALAR_RES_BLOCKS': 4, 'SCALAR_RES_DROPOUT': 0.15882099439107625, 'FUSION_BILINEAR_DIM': 80, 'FUSION_OUTPUT_DIM': 512, 'HEAD_DROPOUT': 0.19422822202647982}","{'best_value': 0.0006382218905787299, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0005270121901123159, 'best_val_selection_score': 0.0006382218905787299}",C:\Users\jiaotong1\5080train\update\run_logs\wavenet-5080-clean-20260612-021847\artifacts\wavenet\trial_0011\model-20260531-181258-99dfe0c9-train20260612-123657
12,0.0006420024435360576,COMPLETE,48,80,512,1.5,0.10263125677281376,6.672608084494192e-05,256,2,0.10366290159077365,256,2048,64,1-2-4-8-16-32-64,2,0.12967126808901308,3,48,192,7.702365693728946e-06,C:\Users\jiaotong1\5080train\update\run_logs\wavenet-5080-clean-20260612-021847\artifacts\wavenet\trial_0012,"{'SEQ_LEN': 2048, 'BATCH_SIZE': 96, 'LEARNING_RATE': 6.672608084494192e-05, 'WEIGHT_DECAY': 7.702365693728946e-06, 'GRAD_CLIP_NORM': 1.5, 'WAVENET_RESIDUAL_CHANNELS': 48, 'WAVENET_SKIP_CHANNELS': 192, 'WAVENET_KERNEL_SIZE': 3, 'WAVENET_DILATION_CYCLES': 2, 'WAVENET_DILATIONS_PER_CYCLE': [1, 2, 4, 8, 16, 32, 64], 'WAVENET_DROPOUT': 0.12967126808901308, 'WAVENET_ATTENTION_DIM': 64, 'SEQUENCE_PROJECTOR_DIM': 256, 'SCALAR_EMBED_DIM': 256, 'SCALAR_RES_BLOCKS': 2, 'SCALAR_RES_DROPOUT': 0.10366290159077365, 'FUSION_BILINEAR_DIM': 80, 'FUSION_OUTPUT_DIM': 512, 'HEAD_DROPOUT': 0.10263125677281376}","{'best_value': 0.0006420024435360576, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0005328062021580777, 'best_val_selection_score': 0.0006420024435360576}",C:\Users\jiaotong1\5080train\update\run_logs\wavenet-5080-clean-20260612-021847\artifacts\wavenet\trial_0012\model-20260531-181258-99dfe0c9-train20260612-131148
13,0.0006318845449950733,COMPLETE,96,80,384,0.8,0.18158535798368308,0.00043261568993104704,256,5,0.14604393346601288,384,2048,64,1-2-4-8-16-32-64,2,0.14045139489660355,3,48,192,4.1236657623390174e-05,C:\Users\jiaotong1\5080train\update\run_logs\wavenet-5080-clean-20260612-021847\artifacts\wavenet\trial_0013,"{'SEQ_LEN': 2048, 'BATCH_SIZE': 96, 'LEARNING_RATE': 0.00043261568993104704, 'WEIGHT_DECAY': 4.1236657623390174e-05, 'GRAD_CLIP_NORM': 0.8, 'WAVENET_RESIDUAL_CHANNELS': 48, 'WAVENET_SKIP_CHANNELS': 192, 'WAVENET_KERNEL_SIZE': 3, 'WAVENET_DILATION_CYCLES': 2, 'WAVENET_DILATIONS_PER_CYCLE': [1, 2, 4, 8, 16, 32, 64], 'WAVENET_DROPOUT': 0.14045139489660355, 'WAVENET_ATTENTION_DIM': 64, 'SEQUENCE_PROJECTOR_DIM': 384, 'SCALAR_EMBED_DIM': 256, 'SCALAR_RES_BLOCKS': 5, 'SCALAR_RES_DROPOUT': 0.14604393346601288, 'FUSION_BILINEAR_DIM': 80, 'FUSION_OUTPUT_DIM': 384, 'HEAD_DROPOUT': 0.18158535798368308}","{'best_value': 0.0006318845449950733, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0005233848588033109, 'best_val_selection_score': 0.0006318845449950733}",C:\Users\jiaotong1\5080train\update\run_logs\wavenet-5080-clean-20260612-021847\artifacts\wavenet\trial_0013\model-20260531-181258-99dfe0c9-train20260612-135035
14,0.0006234447894492914,COMPLETE,96,48,512,0.8,0.1878122944354642,0.00017340764307435433,256,2,0.1450981647492975,256,2048,64,1-2-4-8-16-32-64,2,0.15177020531405822,3,48,128,3.0130526122915983e-06,C:\Users\jiaotong1\5080train\update\run_logs\wavenet-5080-clean-20260612-021847\artifacts\wavenet\trial_0014,"{'SEQ_LEN': 2048, 'BATCH_SIZE': 96, 'LEARNING_RATE': 0.00017340764307435433, 'WEIGHT_DECAY': 3.0130526122915983e-06, 'GRAD_CLIP_NORM': 0.8, 'WAVENET_RESIDUAL_CHANNELS': 48, 'WAVENET_SKIP_CHANNELS': 128, 'WAVENET_KERNEL_SIZE': 3, 'WAVENET_DILATION_CYCLES': 2, 'WAVENET_DILATIONS_PER_CYCLE': [1, 2, 4, 8, 16, 32, 64], 'WAVENET_DROPOUT': 0.15177020531405822, 'WAVENET_ATTENTION_DIM': 64, 'SEQUENCE_PROJECTOR_DIM': 256, 'SCALAR_EMBED_DIM': 256, 'SCALAR_RES_BLOCKS': 2, 'SCALAR_RES_DROPOUT': 0.1450981647492975, 'FUSION_BILINEAR_DIM': 48, 'FUSION_OUTPUT_DIM': 512, 'HEAD_DROPOUT': 0.1878122944354642}","{'best_value': 0.0006234447894492914, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0005148856607062384, 'best_val_selection_score': 0.0006234447894492914}",C:\Users\jiaotong1\5080train\update\run_logs\wavenet-5080-clean-20260612-021847\artifacts\wavenet\trial_0014\model-20260531-181258-99dfe0c9-train20260612-142915
15,0.0006444739576282651,COMPLETE,96,80,512,1.0,0.2327821589146376,0.00041650913527413084,192,4,0.1361586468588911,384,2048,64,1-2-4-8-16-32-64,3,0.1557384141809806,3,32,96,4.547382698077168e-06,C:\Users\jiaotong1\5080train\update\run_logs\wavenet-5080-clean-20260612-021847\artifacts\wavenet\trial_0015,"{'SEQ_LEN': 2048, 'BATCH_SIZE': 96, 'LEARNING_RATE': 0.00041650913527413084, 'WEIGHT_DECAY': 4.547382698077168e-06, 'GRAD_CLIP_NORM': 1.0, 'WAVENET_RESIDUAL_CHANNELS': 32, 'WAVENET_SKIP_CHANNELS': 96, 'WAVENET_KERNEL_SIZE': 3, 'WAVENET_DILATION_CYCLES': 3, 'WAVENET_DILATIONS_PER_CYCLE': [1, 2, 4, 8, 16, 32, 64], 'WAVENET_DROPOUT': 0.1557384141809806, 'WAVENET_ATTENTION_DIM': 64, 'SEQUENCE_PROJECTOR_DIM': 384, 'SCALAR_EMBED_DIM': 192, 'SCALAR_RES_BLOCKS': 4, 'SCALAR_RES_DROPOUT': 0.1361586468588911, 'FUSION_BILINEAR_DIM': 80, 'FUSION_OUTPUT_DIM': 512, 'HEAD_DROPOUT': 0.2327821589146376}","{'best_value': 0.0006444739576282651, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0005340432306811688, 'best_val_selection_score': 0.0006444739576282651}",C:\Users\jiaotong1\5080train\update\run_logs\wavenet-5080-clean-20260612-021847\artifacts\wavenet\trial_0015\model-20260531-181258-99dfe0c9-train20260612-150451
16,0.0006137095575595201,COMPLETE,96,48,512,1.0,0.13317330283326215,0.00025249248709781797,192,5,0.15252067477828035,384,4096,64,1-2-4-8-16-32,2,0.1251387882380051,3,48,96,6.596143851457676e-06,C:\Users\jiaotong1\5080train\update\run_logs\wavenet-5080-clean-20260612-021847\artifacts\wavenet\trial_0016,"{'SEQ_LEN': 4096, 'BATCH_SIZE': 96, 'LEARNING_RATE': 0.00025249248709781797, 'WEIGHT_DECAY': 6.596143851457676e-06, 'GRAD_CLIP_NORM': 1.0, 'WAVENET_RESIDUAL_CHANNELS': 48, 'WAVENET_SKIP_CHANNELS': 96, 'WAVENET_KERNEL_SIZE': 3, 'WAVENET_DILATION_CYCLES': 2, 'WAVENET_DILATIONS_PER_CYCLE': [1, 2, 4, 8, 16, 32], 'WAVENET_DROPOUT': 0.1251387882380051, 'WAVENET_ATTENTION_DIM': 64, 'SEQUENCE_PROJECTOR_DIM': 384, 'SCALAR_EMBED_DIM': 192, 'SCALAR_RES_BLOCKS': 5, 'SCALAR_RES_DROPOUT': 0.15252067477828035, 'FUSION_BILINEAR_DIM': 48, 'FUSION_OUTPUT_DIM': 512, 'HEAD_DROPOUT': 0.13317330283326215}","{'best_value': 0.0006137095575595201, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0005084236353197189, 'best_val_selection_score': 0.0006137095575595201}",C:\Users\jiaotong1\5080train\update\run_logs\wavenet-5080-clean-20260612-021847\artifacts\wavenet\trial_0016\model-20260531-181258-99dfe0c9-train20260612-154111
17,0.0006239828934244897,COMPLETE,96,48,512,1.0,0.19712712327883672,0.00031934698702352804,192,5,0.1107023992887183,384,4096,192,1-2-4-8-16-32,2,0.20666873426233,3,48,64,1.6870663309559547e-05,C:\Users\jiaotong1\5080train\update\run_logs\wavenet-5080-clean-20260612-021847\artifacts\wavenet\trial_0017,"{'SEQ_LEN': 4096, 'BATCH_SIZE': 96, 'LEARNING_RATE': 0.00031934698702352804, 'WEIGHT_DECAY': 1.6870663309559547e-05, 'GRAD_CLIP_NORM': 1.0, 'WAVENET_RESIDUAL_CHANNELS': 48, 'WAVENET_SKIP_CHANNELS': 64, 'WAVENET_KERNEL_SIZE': 3, 'WAVENET_DILATION_CYCLES': 2, 'WAVENET_DILATIONS_PER_CYCLE': [1, 2, 4, 8, 16, 32], 'WAVENET_DROPOUT': 0.20666873426233, 'WAVENET_ATTENTION_DIM': 192, 'SEQUENCE_PROJECTOR_DIM': 384, 'SCALAR_EMBED_DIM': 192, 'SCALAR_RES_BLOCKS': 5, 'SCALAR_RES_DROPOUT': 0.1107023992887183, 'FUSION_BILINEAR_DIM': 48, 'FUSION_OUTPUT_DIM': 512, 'HEAD_DROPOUT': 0.19712712327883672}","{'best_value': 0.0006239828934244897, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0005181696401945246, 'best_val_selection_score': 0.0006239828934244897}",C:\Users\jiaotong1\5080train\update\run_logs\wavenet-5080-clean-20260612-021847\artifacts\wavenet\trial_0017\model-20260531-181258-99dfe0c9-train20260612-164128
18,0.0006579306629645452,COMPLETE,96,48,384,1.0,0.1029921790030228,0.00019244174617814424,192,5,0.18760398370106196,384,4096,64,1-2-4-8-16-32-64,2,0.12774008052053362,3,96,96,2.091022799029546e-06,C:\Users\jiaotong1\5080train\update\run_logs\wavenet-5080-clean-20260612-021847\artifacts\wavenet\trial_0018,"{'SEQ_LEN': 4096, 'BATCH_SIZE': 96, 'LEARNING_RATE': 0.00019244174617814424, 'WEIGHT_DECAY': 2.091022799029546e-06, 'GRAD_CLIP_NORM': 1.0, 'WAVENET_RESIDUAL_CHANNELS': 96, 'WAVENET_SKIP_CHANNELS': 96, 'WAVENET_KERNEL_SIZE': 3, 'WAVENET_DILATION_CYCLES': 2, 'WAVENET_DILATIONS_PER_CYCLE': [1, 2, 4, 8, 16, 32, 64], 'WAVENET_DROPOUT': 0.12774008052053362, 'WAVENET_ATTENTION_DIM': 64, 'SEQUENCE_PROJECTOR_DIM': 384, 'SCALAR_EMBED_DIM': 192, 'SCALAR_RES_BLOCKS': 5, 'SCALAR_RES_DROPOUT': 0.18760398370106196, 'FUSION_BILINEAR_DIM': 48, 'FUSION_OUTPUT_DIM': 384, 'HEAD_DROPOUT': 0.1029921790030228}","{'best_value': 0.0006579306629645452, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0005462957416737971, 'best_val_selection_score': 0.0006579306629645452}",C:\Users\jiaotong1\5080train\update\run_logs\wavenet-5080-clean-20260612-021847\artifacts\wavenet\trial_0018\model-20260531-181258-99dfe0c9-train20260612-173849
19,0.0006293155118390127,COMPLETE,64,48,512,1.0,0.11805608041968355,0.000215264120137987,192,4,0.19384517127445605,384,4096,64,1-2-4-8-16-32,2,0.07029890019805898,3,48,96,8.48382911926639e-05,C:\Users\jiaotong1\5080train\update\run_logs\wavenet-5080-clean-20260612-021847\artifacts\wavenet\trial_0019,"{'SEQ_LEN': 4096, 'BATCH_SIZE': 96, 'LEARNING_RATE': 0.000215264120137987, 'WEIGHT_DECAY': 8.48382911926639e-05, 'GRAD_CLIP_NORM': 1.0, 'WAVENET_RESIDUAL_CHANNELS': 48, 'WAVENET_SKIP_CHANNELS': 96, 'WAVENET_KERNEL_SIZE': 3, 'WAVENET_DILATION_CYCLES': 2, 'WAVENET_DILATIONS_PER_CYCLE': [1, 2, 4, 8, 16, 32], 'WAVENET_DROPOUT': 0.07029890019805898, 'WAVENET_ATTENTION_DIM': 64, 'SEQUENCE_PROJECTOR_DIM': 384, 'SCALAR_EMBED_DIM': 192, 'SCALAR_RES_BLOCKS': 4, 'SCALAR_RES_DROPOUT': 0.19384517127445605, 'FUSION_BILINEAR_DIM': 48, 'FUSION_OUTPUT_DIM': 512, 'HEAD_DROPOUT': 0.11805608041968355}","{'best_value': 0.0006293155118390127, 'objective_metric': 'selection', 'best_val_mae_raw': 0.00052539617497733, 'best_val_selection_score': 0.0006293155118390127}",C:\Users\jiaotong1\5080train\update\run_logs\wavenet-5080-clean-20260612-021847\artifacts\wavenet\trial_0019\model-20260531-181258-99dfe0c9-train20260612-194310
