feature,importance
damper_story_1,11.862394711241729
wave_cav_tail_risk,9.692797040373643
floor_height,7.716749786815182
wave_intensity_tail_risk,7.6413793151884795
wave_structure_period_log_gap,5.875905171679905
mass_to_stiffness,3.8102862479816237
damper_story_2,3.4550427266452637
log1p_wave_rms,3.239206807709705
wave_arias_proxy_x_period,2.938007391874567
tail_risk_proxy,2.1603165791594012
wave_arias_tail_risk,1.5965726900119983
waveform_acc_scaled_0060,1.591356401165741
damper_sparse_ratio,1.4206677929794904
inv_Fy_add,1.3648104435035586
Fy_add,1.2875691353578917
strength_inverse_x_period,1.2244788240465532
wave_arias_proxy,1.197846259278809
log1p_wave_spectral_centroid,1.1893327576459984
wave_spectral_centroid,1.1775207498334885
damper_install_ratio,1.1203247983013476
wave_dominant_freq,1.0966429902455062
wave_pga_x_period,1.0904711804630431
wave_spectral_centroid_x_period,1.0566365616129576
structure_to_wave_period_ratio,1.034643665640581
wave_rms,1.0304444366175276
wave_intensity_score_x_period,0.9064368284729897
wave_dominant_freq_x_period,0.8582979582451844
log1p_tail_risk_proxy,0.8492746663535022
waveform_acc_scaled_0068,0.8289100467616977
log1p_wave_zero_crossing_rate,0.7881740382529601
waveform_acc_scaled_0034,0.787347163737704
wave_zero_crossing_rate,0.7608264048434484
log1p_wave_dominant_freq,0.7578348393295997
flexibility_x_period,0.7461421712657054
inv_k_base_1_4,0.7422313672338616
k_base_1_4,0.6967129840861327
log1p_wave_arias_proxy,0.6239307341470627
damper_story_3,0.5944461739578484
num_floors,0.593735129333312
log1p_wave_pga,0.5215415156428117
wave_pga,0.48886478185395443
wave_to_structure_period_ratio,0.4600420826326261
wave_predominant_period,0.45572903751599925
waveform_acc_scaled_0019,0.4503781864690044
wave_intensity_score,0.4106282114524463
log1p_wave_predominant_period,0.40625575228746
waveform_acc_scaled_0028,0.31728221818705005
waveform_acc_scaled_0015,0.2933397092712857
waveform_acc_scaled_0087,0.27307337998620307
floor_height_x_period,0.2724335035880573
num_floors_x_period,0.25721775762415516
wave_cav_x_period,0.25149774342716535
log1p_wave_intensity_score,0.2167213842274624
damper_install_count,0.21566648747804876
waveform_acc_scaled_0114,0.20906360008513122
waveform_acc_scaled_0002,0.18929042877841265
waveform_acc_scaled_0011,0.18833951761472917
wave_mean_abs,0.17877306465145232
waveform_acc_scaled_0063,0.1697997434574086
waveform_acc_scaled_0024,0.15795192343949807
waveform_acc_scaled_0117,0.15178242316593707
waveform_acc_scaled_0020,0.14445469320284088
waveform_acc_scaled_0016,0.13413171026026532
damper_story_4,0.13348653283363543
height_to_stiffness,0.1149495669949796
waveform_acc_scaled_0013,0.11374887765776749
damper_story_6,0.11292854636961773
waveform_acc_scaled_0054,0.11266076958709727
period_1_sec,0.11121976550522494
waveform_acc_scaled_0118,0.11026367524199342
damper_story_5,0.11023166537239652
waveform_acc_scaled_0040,0.1066674082530964
waveform_acc_scaled_0051,0.10274971990756009
floor_mass_x_period,0.0984770875322718
waveform_acc_scaled_0012,0.09846323145163813
waveform_acc_scaled_0014,0.09840153402812934
waveform_acc_scaled_0032,0.09235184815442943
waveform_acc_scaled_0008,0.09229500695454905
waveform_acc_scaled_0022,0.09017503576115711
waveform_acc_scaled_0018,0.08922053030582779
wave_duration_5_95,0.08913259440680746
waveform_acc_scaled_0062,0.08893141082085618
waveform_acc_scaled_0050,0.08891363489155393
waveform_acc_scaled_0122,0.0869318441732191
waveform_acc_scaled_0078,0.08522128281987122
waveform_acc_scaled_0009,0.08308323109864679
damper_story_7,0.08077418117870143
log1p_wave_duration_5_95,0.08072217196571044
waveform_acc_scaled_0053,0.07983455012093564
log1p_period_1_sec,0.07880739885992097
waveform_acc_scaled_0035,0.07603050088182316
waveform_acc_scaled_0103,0.07546911213973116
waveform_acc_scaled_0098,0.07195875142958322
floor_mass,0.07154682976567654
waveform_acc_scaled_0030,0.06955188210526687
waveform_acc_scaled_0027,0.06931981879161037
waveform_acc_scaled_0006,0.06882855046779476
waveform_acc_scaled_0085,0.06782246388492832
waveform_acc_scaled_0023,0.06643682443482252
waveform_acc_scaled_0026,0.0643063943052387
waveform_acc_scaled_0010,0.06265057563370617
waveform_acc_scaled_0074,0.06150380622283404
waveform_acc_scaled_0004,0.060894158816644395
waveform_acc_scaled_0037,0.05967968974953026
waveform_acc_scaled_0005,0.059097970650445
waveform_acc_scaled_0066,0.05754510046628287
waveform_acc_scaled_0121,0.055657666095961636
waveform_acc_scaled_0029,0.05410613071134103
waveform_acc_scaled_0025,0.05197481805638298
waveform_acc_scaled_0042,0.051835948309956505
waveform_acc_scaled_0086,0.04796067693534265
period_squared,0.04749424483515255
waveform_acc_scaled_0095,0.047065568605584425
waveform_acc_scaled_0048,0.04493727782710131
waveform_acc_scaled_0119,0.044672226512870776
waveform_acc_scaled_0057,0.044132444108565184
waveform_acc_scaled_0123,0.04335568046693248
waveform_acc_scaled_0110,0.04284568529585014
waveform_acc_scaled_0021,0.04209035116032277
waveform_acc_scaled_0090,0.041123537268454906
waveform_acc_scaled_0088,0.040914133561587615
waveform_acc_scaled_0104,0.03891219079617947
waveform_acc_scaled_0049,0.03831057301515696
waveform_acc_scaled_0007,0.03810244288904765
waveform_acc_scaled_0101,0.037455997757261654
waveform_acc_scaled_0120,0.03647798907829159
waveform_acc_scaled_0072,0.03634061296424115
waveform_acc_scaled_0039,0.03398753371579133
waveform_acc_scaled_0084,0.033771331231453754
waveform_acc_scaled_0071,0.033482714279866335
waveform_acc_scaled_0097,0.03327047579717533
waveform_acc_scaled_0091,0.03302059687753043
waveform_acc_scaled_0041,0.03275449971606117
waveform_acc_scaled_0073,0.031137387894545485
waveform_acc_scaled_0017,0.030905368813893167
waveform_acc_scaled_0000,0.030574574598120147
waveform_acc_scaled_0036,0.029494680731264305
waveform_acc_scaled_0079,0.02881235460853598
waveform_acc_scaled_0092,0.027811942843483442
waveform_acc_scaled_0080,0.02617382087389156
waveform_acc_scaled_0075,0.026121189282367237
waveform_acc_scaled_0064,0.02567333833982603
waveform_acc_scaled_0038,0.02513741151079355
waveform_acc_scaled_0055,0.02504266306168499
waveform_acc_scaled_0099,0.024927668693110163
waveform_acc_scaled_0044,0.024498273536631646
waveform_acc_scaled_0096,0.02422422340976357
waveform_acc_scaled_0077,0.024173806050051205
waveform_acc_scaled_0033,0.023923733180980684
waveform_acc_scaled_0116,0.023766689857313148
waveform_acc_scaled_0069,0.023184026239972844
waveform_acc_scaled_0003,0.022373900460864536
waveform_acc_scaled_0061,0.021671775446875634
wave_cav,0.021590132982367373
waveform_acc_scaled_0052,0.021324762057057994
waveform_acc_scaled_0107,0.02126450048102155
waveform_acc_scaled_0111,0.021263542901268518
waveform_acc_scaled_0106,0.0197697798581794
waveform_acc_scaled_0076,0.019569325160759963
waveform_acc_scaled_0093,0.01911310606076239
waveform_acc_scaled_0047,0.018938159435409035
waveform_acc_scaled_0094,0.018602409214332986
waveform_acc_scaled_0001,0.017412819365591744
waveform_acc_scaled_0115,0.01702688444538068
waveform_acc_scaled_0083,0.016086578471047705
waveform_acc_scaled_0067,0.01557960649269568
log1p_wave_cav,0.01502727389389615
waveform_acc_scaled_0081,0.014278205473426349
waveform_acc_scaled_0058,0.013011364468720326
waveform_acc_scaled_0100,0.01187467082116725
waveform_acc_scaled_0043,0.011499486007033018
waveform_acc_scaled_0082,0.011165754941918436
waveform_acc_scaled_0031,0.01113377680966845
waveform_acc_scaled_0065,0.010982960933172078
waveform_acc_scaled_0046,0.010870936639819142
waveform_acc_scaled_0089,0.009607523187974573
waveform_acc_scaled_0124,0.009273249079898835
waveform_acc_scaled_0108,0.00909926716357371
waveform_acc_scaled_0102,0.008944289949919734
waveform_acc_scaled_0112,0.007950093766038151
waveform_acc_scaled_0056,0.007606681986854539
log1p_wave_mean_abs,0.007568497638986049
waveform_acc_scaled_0070,0.005700708397704584
waveform_acc_scaled_0105,0.0056969943763335255
waveform_acc_scaled_0109,0.004015775891275541
waveform_acc_scaled_0045,0.003277170018298419
waveform_acc_scaled_0113,0.003135047887482225
waveform_acc_scaled_0059,0.0018071267496396974
waveform_acc_scaled_0237,0.0
waveform_acc_scaled_0239,0.0
waveform_acc_scaled_0238,0.0
waveform_acc_scaled_0236,0.0
waveform_acc_scaled_0235,0.0
waveform_acc_scaled_0234,0.0
waveform_acc_scaled_0233,0.0
waveform_acc_scaled_0232,0.0
waveform_acc_scaled_0231,0.0
waveform_acc_scaled_0230,0.0
waveform_acc_scaled_0229,0.0
waveform_acc_scaled_0228,0.0
waveform_acc_scaled_0227,0.0
waveform_acc_scaled_0226,0.0
waveform_acc_scaled_0225,0.0
waveform_acc_scaled_0240,0.0
waveform_acc_scaled_0125,0.0
waveform_acc_scaled_0126,0.0
waveform_acc_scaled_0127,0.0
waveform_acc_scaled_0128,0.0
waveform_acc_scaled_0129,0.0
waveform_acc_scaled_0130,0.0
waveform_acc_scaled_0131,0.0
waveform_acc_scaled_0132,0.0
waveform_acc_scaled_0133,0.0
waveform_acc_scaled_0134,0.0
waveform_acc_scaled_0135,0.0
waveform_acc_scaled_0136,0.0
waveform_acc_scaled_0137,0.0
waveform_acc_scaled_0138,0.0
waveform_acc_scaled_0139,0.0
waveform_acc_scaled_0140,0.0
waveform_acc_scaled_0141,0.0
waveform_acc_scaled_0142,0.0
waveform_acc_scaled_0143,0.0
waveform_acc_scaled_0144,0.0
waveform_acc_scaled_0145,0.0
waveform_acc_scaled_0146,0.0
waveform_acc_scaled_0147,0.0
waveform_acc_scaled_0148,0.0
waveform_acc_scaled_0149,0.0
waveform_acc_scaled_0150,0.0
waveform_acc_scaled_0151,0.0
waveform_acc_scaled_0152,0.0
waveform_acc_scaled_0153,0.0
waveform_acc_scaled_0154,0.0
waveform_acc_scaled_0155,0.0
waveform_acc_scaled_0156,0.0
waveform_acc_scaled_0157,0.0
waveform_acc_scaled_0158,0.0
waveform_acc_scaled_0159,0.0
waveform_acc_scaled_0160,0.0
waveform_acc_scaled_0161,0.0
waveform_acc_scaled_0162,0.0
waveform_acc_scaled_0163,0.0
waveform_acc_scaled_0164,0.0
waveform_acc_scaled_0165,0.0
waveform_acc_scaled_0166,0.0
waveform_acc_scaled_0167,0.0
waveform_acc_scaled_0168,0.0
waveform_acc_scaled_0169,0.0
waveform_acc_scaled_0170,0.0
waveform_acc_scaled_0171,0.0
waveform_acc_scaled_0172,0.0
waveform_acc_scaled_0173,0.0
waveform_acc_scaled_0174,0.0
waveform_acc_scaled_0175,0.0
waveform_acc_scaled_0176,0.0
waveform_acc_scaled_0177,0.0
waveform_acc_scaled_0178,0.0
waveform_acc_scaled_0179,0.0
waveform_acc_scaled_0180,0.0
waveform_acc_scaled_0181,0.0
waveform_acc_scaled_0182,0.0
waveform_acc_scaled_0183,0.0
waveform_acc_scaled_0184,0.0
waveform_acc_scaled_0185,0.0
waveform_acc_scaled_0186,0.0
waveform_acc_scaled_0187,0.0
waveform_acc_scaled_0188,0.0
waveform_acc_scaled_0189,0.0
waveform_acc_scaled_0190,0.0
waveform_acc_scaled_0191,0.0
waveform_acc_scaled_0192,0.0
waveform_acc_scaled_0193,0.0
waveform_acc_scaled_0194,0.0
waveform_acc_scaled_0195,0.0
waveform_acc_scaled_0196,0.0
waveform_acc_scaled_0197,0.0
waveform_acc_scaled_0198,0.0
waveform_acc_scaled_0199,0.0
waveform_acc_scaled_0200,0.0
waveform_acc_scaled_0201,0.0
waveform_acc_scaled_0202,0.0
waveform_acc_scaled_0203,0.0
waveform_acc_scaled_0204,0.0
waveform_acc_scaled_0205,0.0
waveform_acc_scaled_0206,0.0
waveform_acc_scaled_0207,0.0
waveform_acc_scaled_0208,0.0
waveform_acc_scaled_0209,0.0
waveform_acc_scaled_0210,0.0
waveform_acc_scaled_0211,0.0
waveform_acc_scaled_0212,0.0
waveform_acc_scaled_0213,0.0
waveform_acc_scaled_0214,0.0
waveform_acc_scaled_0215,0.0
waveform_acc_scaled_0216,0.0
waveform_acc_scaled_0217,0.0
waveform_acc_scaled_0218,0.0
waveform_acc_scaled_0219,0.0
waveform_acc_scaled_0220,0.0
waveform_acc_scaled_0221,0.0
waveform_acc_scaled_0222,0.0
waveform_acc_scaled_0223,0.0
waveform_acc_scaled_0224,0.0
waveform_acc_scaled_0241,0.0
waveform_acc_scaled_0242,0.0
waveform_acc_scaled_0243,0.0
waveform_acc_scaled_0244,0.0
waveform_acc_scaled_0245,0.0
waveform_acc_scaled_0246,0.0
waveform_acc_scaled_0247,0.0
waveform_acc_scaled_0248,0.0
waveform_acc_scaled_0249,0.0
waveform_acc_scaled_0250,0.0
waveform_acc_scaled_0251,0.0
waveform_acc_scaled_0252,0.0
waveform_acc_scaled_0253,0.0
waveform_acc_scaled_0254,0.0
waveform_acc_scaled_0255,0.0
