number,value,state,params_COLSAMPLE_BYTREE,params_LEARNING_RATE,params_MAX_DEPTH,params_MIN_CHILD_WEIGHT,params_N_ESTIMATORS,params_REG_ALPHA,params_REG_LAMBDA,params_SUBSAMPLE,params_WAVEFORM_FEATURE_COUNT,user_attrs_artifact_root,user_attrs_config_params,user_attrs_metrics,user_attrs_model_dir
16,0.002789432521100875,COMPLETE,0.846083938727956,0.07634301373856188,4,3.5946615549553185,3500,2.0719712620127536e-05,3.208798550088664,0.7020184400788267,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\xgboost\trial_0016,"{'N_ESTIMATORS': 3500, 'LEARNING_RATE': 0.07634301373856188, 'MAX_DEPTH': 4, 'MIN_CHILD_WEIGHT': 3.5946615549553185, 'SUBSAMPLE': 0.7020184400788267, 'COLSAMPLE_BYTREE': 0.846083938727956, 'REG_LAMBDA': 3.208798550088664, 'REG_ALPHA': 2.0719712620127536e-05, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.8408162887425117, 'MAE': 0.0006078268290940813, 'RMSE': 0.0010733109665296836, 'MAPE': 28.142178549377984, 'Bias': -0.00030580059105062506, 'SelectionScore': 0.002789432521100875}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\xgboost\trial_0016\model-20260531-181258-99dfe0c9-train20260611-014907
17,0.0033254544160049777,COMPLETE,0.6479487775463317,0.014409798504095024,5,17.63107927284978,5000,8.866237005161332e-06,0.013953048875390854,0.6586454079825604,64,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\xgboost\trial_0017,"{'N_ESTIMATORS': 5000, 'LEARNING_RATE': 0.014409798504095024, 'MAX_DEPTH': 5, 'MIN_CHILD_WEIGHT': 17.63107927284978, 'SUBSAMPLE': 0.6586454079825604, 'COLSAMPLE_BYTREE': 0.6479487775463317, 'REG_LAMBDA': 0.013953048875390854, 'REG_ALPHA': 8.866237005161332e-06, 'WAVEFORM_FEATURE_COUNT': 64}","{'Samples': 3420, 'R2': 0.7794973534055332, 'MAE': 0.0006939551884762184, 'RMSE': 0.0012632321120301312, 'MAPE': 28.90571176918402, 'Bias': -0.0004026545417215926, 'SelectionScore': 0.0033254544160049777}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\xgboost\trial_0017\model-20260531-181258-99dfe0c9-train20260611-014921
18,0.003119331316751216,COMPLETE,0.6867375847100524,0.012323838563739862,4,8.333817558298747,4250,1.6431756434932835e-06,5.523835475766703,0.6055432131349704,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\xgboost\trial_0018,"{'N_ESTIMATORS': 4250, 'LEARNING_RATE': 0.012323838563739862, 'MAX_DEPTH': 4, 'MIN_CHILD_WEIGHT': 8.333817558298747, 'SUBSAMPLE': 0.6055432131349704, 'COLSAMPLE_BYTREE': 0.6867375847100524, 'REG_LAMBDA': 5.523835475766703, 'REG_ALPHA': 1.6431756434932835e-06, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.8084948692165654, 'MAE': 0.000639044249572164, 'RMSE': 0.0011772439328788095, 'MAPE': 27.77156355203163, 'Bias': -0.0003401280614032296, 'SelectionScore': 0.003119331316751216}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\xgboost\trial_0018\model-20260531-181258-99dfe0c9-train20260611-014937
19,0.0029970911376962415,COMPLETE,0.6229341654955283,0.05386785338454535,5,6.418740744542432,2000,0.00012307747057326333,0.03961587858844235,0.6842657773277333,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\xgboost\trial_0019,"{'N_ESTIMATORS': 2000, 'LEARNING_RATE': 0.05386785338454535, 'MAX_DEPTH': 5, 'MIN_CHILD_WEIGHT': 6.418740744542432, 'SUBSAMPLE': 0.6842657773277333, 'COLSAMPLE_BYTREE': 0.6229341654955283, 'REG_LAMBDA': 0.03961587858844235, 'REG_ALPHA': 0.00012307747057326333, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.8219118624485859, 'MAE': 0.0006134777950732865, 'RMSE': 0.0011352558537326223, 'MAPE': 26.7770132007752, 'Bias': -0.0003236662427212711, 'SelectionScore': 0.0029970911376962415}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\xgboost\trial_0019\model-20260531-181258-99dfe0c9-train20260611-014954
20,0.002910034931696329,COMPLETE,0.6566193405611983,0.025131795678279126,5,2.169133237395026,4500,0.00011478010042372302,0.2049452296775492,0.7825871756767829,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\xgboost\trial_0020,"{'N_ESTIMATORS': 4500, 'LEARNING_RATE': 0.025131795678279126, 'MAX_DEPTH': 5, 'MIN_CHILD_WEIGHT': 2.169133237395026, 'SUBSAMPLE': 0.7825871756767829, 'COLSAMPLE_BYTREE': 0.6566193405611983, 'REG_LAMBDA': 0.2049452296775492, 'REG_ALPHA': 0.00011478010042372302, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.8303110999186014, 'MAE': 0.0006026592038768562, 'RMSE': 0.001108161279196891, 'MAPE': 25.24564485373662, 'Bias': -0.0003304354556234347, 'SelectionScore': 0.002910034931696329}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\xgboost\trial_0020\model-20260531-181258-99dfe0c9-train20260611-015004
21,0.002881748608519152,COMPLETE,0.8347927659546018,0.06827721576272361,5,3.6432186252735,4500,2.9823301431334077e-06,15.593447853576093,0.7527096063869477,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\xgboost\trial_0021,"{'N_ESTIMATORS': 4500, 'LEARNING_RATE': 0.06827721576272361, 'MAX_DEPTH': 5, 'MIN_CHILD_WEIGHT': 3.6432186252735, 'SUBSAMPLE': 0.7527096063869477, 'COLSAMPLE_BYTREE': 0.8347927659546018, 'REG_LAMBDA': 15.593447853576093, 'REG_ALPHA': 2.9823301431334077e-06, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.8322510314546923, 'MAE': 0.000610187089338383, 'RMSE': 0.0011018086640786843, 'MAPE': 26.415252738912955, 'Bias': -0.0003370070539274991, 'SelectionScore': 0.002881748608519152}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\xgboost\trial_0021\model-20260531-181258-99dfe0c9-train20260611-015024
22,0.003221073608582399,COMPLETE,0.8774904740976726,0.04701560604336549,3,2.0358304401412277,3500,8.64944493909023e-05,0.1624655526801559,0.6328493873014288,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\xgboost\trial_0022,"{'N_ESTIMATORS': 3500, 'LEARNING_RATE': 0.04701560604336549, 'MAX_DEPTH': 3, 'MIN_CHILD_WEIGHT': 2.0358304401412277, 'SUBSAMPLE': 0.6328493873014288, 'COLSAMPLE_BYTREE': 0.8774904740976726, 'REG_LAMBDA': 0.1624655526801559, 'REG_ALPHA': 8.64944493909023e-05, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.7923623150403087, 'MAE': 0.000694043013182019, 'RMSE': 0.0012258274518372942, 'MAPE': 31.349019838112294, 'Bias': -0.0003887684963681175, 'SelectionScore': 0.003221073608582399}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\xgboost\trial_0022\model-20260531-181258-99dfe0c9-train20260611-015044
23,0.003368559083242823,COMPLETE,0.9266125352118512,0.053624504390501496,4,4.270066924616771,2500,0.0008192824639802141,6.975081395720239,0.7788895723654059,64,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\xgboost\trial_0023,"{'N_ESTIMATORS': 2500, 'LEARNING_RATE': 0.053624504390501496, 'MAX_DEPTH': 4, 'MIN_CHILD_WEIGHT': 4.270066924616771, 'SUBSAMPLE': 0.7788895723654059, 'COLSAMPLE_BYTREE': 0.9266125352118512, 'REG_LAMBDA': 6.975081395720239, 'REG_ALPHA': 0.0008192824639802141, 'WAVEFORM_FEATURE_COUNT': 64}","{'Samples': 3420, 'R2': 0.7724790725632668, 'MAE': 0.0006908703428893183, 'RMSE': 0.0012831780694957564, 'MAPE': 28.39300494975597, 'Bias': -0.00039709263638909315, 'SelectionScore': 0.003368559083242823}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\xgboost\trial_0023\model-20260531-181258-99dfe0c9-train20260611-015057
24,0.003164116439789747,COMPLETE,0.8970449221229606,0.03393764252448643,5,6.102913666685357,4500,1.8070677588843607e-05,0.33479037002346573,0.684687404947679,384,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\xgboost\trial_0024,"{'N_ESTIMATORS': 4500, 'LEARNING_RATE': 0.03393764252448643, 'MAX_DEPTH': 5, 'MIN_CHILD_WEIGHT': 6.102913666685357, 'SUBSAMPLE': 0.684687404947679, 'COLSAMPLE_BYTREE': 0.8970449221229606, 'REG_LAMBDA': 0.33479037002346573, 'REG_ALPHA': 1.8070677588843607e-05, 'WAVEFORM_FEATURE_COUNT': 384}","{'Samples': 3420, 'R2': 0.7987591758779751, 'MAE': 0.000665534920894026, 'RMSE': 0.001206797210088845, 'MAPE': 28.219957165463406, 'Bias': -0.0003621304395960844, 'SelectionScore': 0.003164116439789747}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\xgboost\trial_0024\model-20260531-181258-99dfe0c9-train20260611-015104
25,0.0029881532286193976,COMPLETE,0.8898770754871868,0.06644318997744508,4,3.9127757979707667,1000,0.00034566209642974765,0.006148077519251074,0.8401968901727039,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\xgboost\trial_0025,"{'N_ESTIMATORS': 1000, 'LEARNING_RATE': 0.06644318997744508, 'MAX_DEPTH': 4, 'MIN_CHILD_WEIGHT': 3.9127757979707667, 'SUBSAMPLE': 0.8401968901727039, 'COLSAMPLE_BYTREE': 0.8898770754871868, 'REG_LAMBDA': 0.006148077519251074, 'REG_ALPHA': 0.00034566209642974765, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.8216899596908731, 'MAE': 0.0006287774722112086, 'RMSE': 0.0011359629136841196, 'MAPE': 28.69157467096179, 'Bias': -0.00031804814202746854, 'SelectionScore': 0.0029881532286193976}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\xgboost\trial_0025\model-20260531-181258-99dfe0c9-train20260611-015146
