number,value,state,params_BATCH_SIZE,params_EARLY_STOPPING_PATIENCE,params_LEARNING_RATE,params_MLP_BLOCK_COUNT,params_MLP_DROPOUT,params_MLP_HIDDEN_DIM,params_MLP_HIDDEN_MULT,params_SMOOTH_L1_BETA,params_WAVEFORM_FEATURE_COUNT,params_WEIGHT_DECAY,user_attrs_artifact_root,user_attrs_config_params,user_attrs_metrics,user_attrs_model_dir
17,0.0029109098399035887,COMPLETE,512,15,0.0012880941940275508,4,0.27557509247519957,256,2,2.0,256,9.110319881676327e-06,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0017,"{'BATCH_SIZE': 512, 'LEARNING_RATE': 0.0012880941940275508, 'WEIGHT_DECAY': 9.110319881676327e-06, 'SMOOTH_L1_BETA': 2.0, 'EARLY_STOPPING_PATIENCE': 15, 'MLP_HIDDEN_DIM': 256, 'MLP_BLOCK_COUNT': 4, 'MLP_HIDDEN_MULT': 2, 'MLP_DROPOUT': 0.27557509247519957, 'WAVEFORM_FEATURE_COUNT': 256}","{'Samples': 3420, 'R2': 0.829370310802396, 'MAE': 0.0006383862695443969, 'RMSE': 0.0011112289667151436, 'MAPE': 28.580963155699408, 'Bias': -0.0003955055400933417, 'SelectionScore': 0.0029109098399035887, 'phase': 'val'}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0017\model-20260531-181258-99dfe0c9-train20260611-025900
18,0.0030505566143728072,COMPLETE,256,15,0.001365259803365479,4,0.2269438688386086,384,2,2.0,128,2.0004868377337597e-05,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0018,"{'BATCH_SIZE': 256, 'LEARNING_RATE': 0.001365259803365479, 'WEIGHT_DECAY': 2.0004868377337597e-05, 'SMOOTH_L1_BETA': 2.0, 'EARLY_STOPPING_PATIENCE': 15, 'MLP_HIDDEN_DIM': 384, 'MLP_BLOCK_COUNT': 4, 'MLP_HIDDEN_MULT': 2, 'MLP_DROPOUT': 0.2269438688386086, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.803098958656839, 'MAE': 0.0006650738508487955, 'RMSE': 0.001193713925903819, 'MAPE': 25.027068019632125, 'Bias': -0.0004364773581834249, 'SelectionScore': 0.0030505566143728072, 'phase': 'val'}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0018\model-20260531-181258-99dfe0c9-train20260611-025925
19,0.0024903133360809518,COMPLETE,512,15,0.0027064562512491962,3,0.2947761830760372,512,2,0.3,128,0.00040698425512740915,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0019,"{'BATCH_SIZE': 512, 'LEARNING_RATE': 0.0027064562512491962, 'WEIGHT_DECAY': 0.00040698425512740915, 'SMOOTH_L1_BETA': 0.3, 'EARLY_STOPPING_PATIENCE': 15, 'MLP_HIDDEN_DIM': 512, 'MLP_BLOCK_COUNT': 3, 'MLP_HIDDEN_MULT': 2, 'MLP_DROPOUT': 0.2947761830760372, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.8621572213724138, 'MAE': 0.0006019679031399322, 'RMSE': 0.000998776380476354, 'MAPE': 23.918637525798246, 'Bias': -0.000440735640141712, 'SelectionScore': 0.0024903133360809518, 'phase': 'val'}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0019\model-20260531-181258-99dfe0c9-train20260611-025958
20,0.0028870286414786543,COMPLETE,512,15,0.0007461129221101735,2,0.22812985275984898,512,2,0.3,128,0.00047120437940936273,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0020,"{'BATCH_SIZE': 512, 'LEARNING_RATE': 0.0007461129221101735, 'WEIGHT_DECAY': 0.00047120437940936273, 'SMOOTH_L1_BETA': 0.3, 'EARLY_STOPPING_PATIENCE': 15, 'MLP_HIDDEN_DIM': 512, 'MLP_BLOCK_COUNT': 2, 'MLP_HIDDEN_MULT': 2, 'MLP_DROPOUT': 0.22812985275984898, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.8320876531726428, 'MAE': 0.0006179267961475989, 'RMSE': 0.0011023450840615364, 'MAPE': 26.702852804254704, 'Bias': -0.00038833414462805573, 'SelectionScore': 0.0028870286414786543, 'phase': 'val'}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0020\model-20260531-181258-99dfe0c9-train20260611-030021
21,0.003007620769395955,COMPLETE,256,30,0.0008109325504448645,5,0.3126320920564526,128,4,2.0,128,1.0389578198450886e-05,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0021,"{'BATCH_SIZE': 256, 'LEARNING_RATE': 0.0008109325504448645, 'WEIGHT_DECAY': 1.0389578198450886e-05, 'SMOOTH_L1_BETA': 2.0, 'EARLY_STOPPING_PATIENCE': 30, 'MLP_HIDDEN_DIM': 128, 'MLP_BLOCK_COUNT': 5, 'MLP_HIDDEN_MULT': 4, 'MLP_DROPOUT': 0.3126320920564526, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.8191944423616845, 'MAE': 0.0006185957732035689, 'RMSE': 0.001143884411981355, 'MAPE': 24.236996527814792, 'Bias': -0.00034216853390243643, 'SelectionScore': 0.003007620769395955, 'phase': 'val'}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0021\model-20260531-181258-99dfe0c9-train20260611-030037
22,0.002616801598077817,COMPLETE,512,15,0.002495750811130602,4,0.2987338123879986,512,2,0.3,128,0.00011260310873160935,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0022,"{'BATCH_SIZE': 512, 'LEARNING_RATE': 0.002495750811130602, 'WEIGHT_DECAY': 0.00011260310873160935, 'SMOOTH_L1_BETA': 0.3, 'EARLY_STOPPING_PATIENCE': 15, 'MLP_HIDDEN_DIM': 512, 'MLP_BLOCK_COUNT': 4, 'MLP_HIDDEN_MULT': 2, 'MLP_DROPOUT': 0.2987338123879986, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.8534052791327208, 'MAE': 0.0006412654646790273, 'RMSE': 0.0010299957182888125, 'MAPE': 28.06675949105562, 'Bias': -0.0005483410921085497, 'SelectionScore': 0.002616801598077817, 'phase': 'val'}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0022\model-20260531-181258-99dfe0c9-train20260611-030207
23,0.0028673021402999465,COMPLETE,768,15,0.0018322534628389092,3,0.3319463498058125,512,2,0.3,64,0.00021462821591672633,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0023,"{'BATCH_SIZE': 768, 'LEARNING_RATE': 0.0018322534628389092, 'WEIGHT_DECAY': 0.00021462821591672633, 'SMOOTH_L1_BETA': 0.3, 'EARLY_STOPPING_PATIENCE': 15, 'MLP_HIDDEN_DIM': 512, 'MLP_BLOCK_COUNT': 3, 'MLP_HIDDEN_MULT': 2, 'MLP_DROPOUT': 0.3319463498058125, 'WAVEFORM_FEATURE_COUNT': 64}","{'Samples': 3420, 'R2': 0.8298835451952445, 'MAE': 0.0006662360760450696, 'RMSE': 0.0011095564839315262, 'MAPE': 32.07671078190292, 'Bias': -0.0003700754799273832, 'SelectionScore': 0.0028673021402999465, 'phase': 'val'}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0023\model-20260531-181258-99dfe0c9-train20260611-030229
24,0.0028489594797673308,COMPLETE,512,15,0.0008663590635567119,4,0.2999524710406891,512,2,1.5,128,0.00013724656132780446,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0024,"{'BATCH_SIZE': 512, 'LEARNING_RATE': 0.0008663590635567119, 'WEIGHT_DECAY': 0.00013724656132780446, 'SMOOTH_L1_BETA': 1.5, 'EARLY_STOPPING_PATIENCE': 15, 'MLP_HIDDEN_DIM': 512, 'MLP_BLOCK_COUNT': 4, 'MLP_HIDDEN_MULT': 2, 'MLP_DROPOUT': 0.2999524710406891, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.8397413853529863, 'MAE': 0.0005948874388352591, 'RMSE': 0.001076928687551083, 'MAPE': 26.687964890344105, 'Bias': -0.00037160170943732534, 'SelectionScore': 0.0028489594797673308, 'phase': 'val'}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0024\model-20260531-181258-99dfe0c9-train20260611-030242
25,0.0028551001515700627,COMPLETE,512,30,0.0009518666827962756,3,0.3447718513441057,384,2,0.3,128,0.00021556032073204753,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0025,"{'BATCH_SIZE': 512, 'LEARNING_RATE': 0.0009518666827962756, 'WEIGHT_DECAY': 0.00021556032073204753, 'SMOOTH_L1_BETA': 0.3, 'EARLY_STOPPING_PATIENCE': 30, 'MLP_HIDDEN_DIM': 384, 'MLP_BLOCK_COUNT': 3, 'MLP_HIDDEN_MULT': 2, 'MLP_DROPOUT': 0.3447718513441057, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.8305249154872105, 'MAE': 0.0006681863210464841, 'RMSE': 0.0011074628928546514, 'MAPE': 30.460463306988125, 'Bias': -0.000521616519330237, 'SelectionScore': 0.0028551001515700627, 'phase': 'val'}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0025\model-20260531-181258-99dfe0c9-train20260611-030259
26,0.002925103698159744,COMPLETE,512,30,0.0013739020994030374,4,0.23615512515334344,512,2,0.5,64,0.0006711495386441293,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0026,"{'BATCH_SIZE': 512, 'LEARNING_RATE': 0.0013739020994030374, 'WEIGHT_DECAY': 0.0006711495386441293, 'SMOOTH_L1_BETA': 0.5, 'EARLY_STOPPING_PATIENCE': 30, 'MLP_HIDDEN_DIM': 512, 'MLP_BLOCK_COUNT': 4, 'MLP_HIDDEN_MULT': 2, 'MLP_DROPOUT': 0.23615512515334344, 'WAVEFORM_FEATURE_COUNT': 64}","{'Samples': 3420, 'R2': 0.8244980810759606, 'MAE': 0.000660379670689834, 'RMSE': 0.0011269825422771612, 'MAPE': 29.314877568992493, 'Bias': -0.0003550871914279065, 'SelectionScore': 0.002925103698159744, 'phase': 'val'}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0026\model-20260531-181258-99dfe0c9-train20260611-030329
27,0.002881209673810204,COMPLETE,512,20,0.0021565980867360645,4,0.25615808824555447,512,2,1.5,128,2.3033556764722056e-06,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0027,"{'BATCH_SIZE': 512, 'LEARNING_RATE': 0.0021565980867360645, 'WEIGHT_DECAY': 2.3033556764722056e-06, 'SMOOTH_L1_BETA': 1.5, 'EARLY_STOPPING_PATIENCE': 20, 'MLP_HIDDEN_DIM': 512, 'MLP_BLOCK_COUNT': 4, 'MLP_HIDDEN_MULT': 2, 'MLP_DROPOUT': 0.25615808824555447, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.827598512959113, 'MAE': 0.0006373265762198976, 'RMSE': 0.0011169834996079368, 'MAPE': 24.567609468335142, 'Bias': -0.00046616953770236565, 'SelectionScore': 0.002881209673810204, 'phase': 'val'}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0027\model-20260531-181258-99dfe0c9-train20260611-030402
28,0.002560876394783837,COMPLETE,256,15,0.0017364915628930993,3,0.29481251252080537,256,4,0.3,128,0.00020956498702136823,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0028,"{'BATCH_SIZE': 256, 'LEARNING_RATE': 0.0017364915628930993, 'WEIGHT_DECAY': 0.00020956498702136823, 'SMOOTH_L1_BETA': 0.3, 'EARLY_STOPPING_PATIENCE': 15, 'MLP_HIDDEN_DIM': 256, 'MLP_BLOCK_COUNT': 3, 'MLP_HIDDEN_MULT': 4, 'MLP_DROPOUT': 0.29481251252080537, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.8605248045584567, 'MAE': 0.000605853811090083, 'RMSE': 0.001004673028255459, 'MAPE': 26.130347255698428, 'Bias': -0.0004453794475168055, 'SelectionScore': 0.002560876394783837, 'phase': 'val'}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0028\model-20260531-181258-99dfe0c9-train20260611-030433
29,0.0036907919441042407,COMPLETE,256,15,0.0008106571836062573,2,0.20199986045343896,384,4,0.3,64,0.00019794032416574844,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0029,"{'BATCH_SIZE': 256, 'LEARNING_RATE': 0.0008106571836062573, 'WEIGHT_DECAY': 0.00019794032416574844, 'SMOOTH_L1_BETA': 0.3, 'EARLY_STOPPING_PATIENCE': 15, 'MLP_HIDDEN_DIM': 384, 'MLP_BLOCK_COUNT': 2, 'MLP_HIDDEN_MULT': 4, 'MLP_DROPOUT': 0.20199986045343896, 'WAVEFORM_FEATURE_COUNT': 64}","{'Samples': 3420, 'R2': 0.7104158121190911, 'MAE': 0.0008134142320070715, 'RMSE': 0.0014476503381699386, 'MAPE': 30.36476360376015, 'Bias': -0.0006090210559462332, 'SelectionScore': 0.0036907919441042407, 'phase': 'val'}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0029\model-20260531-181258-99dfe0c9-train20260611-030459
