feature,importance
waveform_acc_scaled_0225,0.0
waveform_acc_scaled_0226,0.0
waveform_acc_scaled_0248,0.0
waveform_acc_scaled_0241,0.0
waveform_acc_scaled_0242,0.0
waveform_acc_scaled_0243,0.0
waveform_acc_scaled_0244,0.0
waveform_acc_scaled_0245,0.0
waveform_acc_scaled_0246,0.0
waveform_acc_scaled_0247,0.0
waveform_acc_scaled_0224,0.0
waveform_acc_scaled_0217,0.0
waveform_acc_scaled_0218,0.0
waveform_acc_scaled_0219,0.0
waveform_acc_scaled_0220,0.0
waveform_acc_scaled_0221,0.0
waveform_acc_scaled_0222,0.0
waveform_acc_scaled_0223,0.0
waveform_acc_scaled_0233,0.0
waveform_acc_scaled_0232,0.0
waveform_acc_scaled_0231,0.0
waveform_acc_scaled_0230,0.0
waveform_acc_scaled_0229,0.0
waveform_acc_scaled_0228,0.0
log1p_wave_cav,0.0
waveform_acc_scaled_0235,0.0
waveform_acc_scaled_0240,0.0
waveform_acc_scaled_0239,0.0
waveform_acc_scaled_0238,0.0
waveform_acc_scaled_0237,0.0
waveform_acc_scaled_0236,0.0
waveform_acc_scaled_0125,0.0
waveform_acc_scaled_0126,0.0
waveform_acc_scaled_0127,0.0
waveform_acc_scaled_0128,0.0
waveform_acc_scaled_0129,0.0
waveform_acc_scaled_0130,0.0
waveform_acc_scaled_0131,0.0
waveform_acc_scaled_0132,0.0
waveform_acc_scaled_0133,0.0
waveform_acc_scaled_0134,0.0
waveform_acc_scaled_0135,0.0
waveform_acc_scaled_0136,0.0
waveform_acc_scaled_0137,0.0
waveform_acc_scaled_0138,0.0
waveform_acc_scaled_0139,0.0
waveform_acc_scaled_0140,0.0
waveform_acc_scaled_0141,0.0
waveform_acc_scaled_0142,0.0
waveform_acc_scaled_0143,0.0
waveform_acc_scaled_0144,0.0
waveform_acc_scaled_0145,0.0
waveform_acc_scaled_0146,0.0
waveform_acc_scaled_0147,0.0
waveform_acc_scaled_0148,0.0
waveform_acc_scaled_0149,0.0
waveform_acc_scaled_0150,0.0
waveform_acc_scaled_0151,0.0
waveform_acc_scaled_0152,0.0
waveform_acc_scaled_0153,0.0
waveform_acc_scaled_0154,0.0
waveform_acc_scaled_0155,0.0
waveform_acc_scaled_0156,0.0
waveform_acc_scaled_0157,0.0
waveform_acc_scaled_0158,0.0
waveform_acc_scaled_0159,0.0
waveform_acc_scaled_0160,0.0
waveform_acc_scaled_0161,0.0
waveform_acc_scaled_0162,0.0
waveform_acc_scaled_0163,0.0
waveform_acc_scaled_0164,0.0
waveform_acc_scaled_0165,0.0
waveform_acc_scaled_0166,0.0
waveform_acc_scaled_0167,0.0
waveform_acc_scaled_0168,0.0
waveform_acc_scaled_0169,0.0
waveform_acc_scaled_0170,0.0
waveform_acc_scaled_0171,0.0
waveform_acc_scaled_0172,0.0
waveform_acc_scaled_0173,0.0
waveform_acc_scaled_0174,0.0
waveform_acc_scaled_0175,0.0
waveform_acc_scaled_0176,0.0
waveform_acc_scaled_0177,0.0
waveform_acc_scaled_0178,0.0
waveform_acc_scaled_0179,0.0
waveform_acc_scaled_0180,0.0
waveform_acc_scaled_0181,0.0
waveform_acc_scaled_0182,0.0
waveform_acc_scaled_0183,0.0
waveform_acc_scaled_0184,0.0
waveform_acc_scaled_0185,0.0
waveform_acc_scaled_0186,0.0
waveform_acc_scaled_0187,0.0
waveform_acc_scaled_0188,0.0
waveform_acc_scaled_0189,0.0
waveform_acc_scaled_0190,0.0
waveform_acc_scaled_0191,0.0
waveform_acc_scaled_0192,0.0
waveform_acc_scaled_0193,0.0
waveform_acc_scaled_0194,0.0
waveform_acc_scaled_0195,0.0
waveform_acc_scaled_0196,0.0
waveform_acc_scaled_0197,0.0
waveform_acc_scaled_0198,0.0
waveform_acc_scaled_0199,0.0
waveform_acc_scaled_0200,0.0
waveform_acc_scaled_0201,0.0
waveform_acc_scaled_0202,0.0
waveform_acc_scaled_0203,0.0
waveform_acc_scaled_0204,0.0
waveform_acc_scaled_0205,0.0
waveform_acc_scaled_0206,0.0
waveform_acc_scaled_0207,0.0
waveform_acc_scaled_0208,0.0
waveform_acc_scaled_0209,0.0
waveform_acc_scaled_0210,0.0
waveform_acc_scaled_0211,0.0
waveform_acc_scaled_0212,0.0
waveform_acc_scaled_0213,0.0
waveform_acc_scaled_0214,0.0
waveform_acc_scaled_0215,0.0
waveform_acc_scaled_0216,0.0
waveform_acc_scaled_0249,0.0
waveform_acc_scaled_0250,0.0
waveform_acc_scaled_0251,0.0
waveform_acc_scaled_0252,0.0
waveform_acc_scaled_0253,0.0
waveform_acc_scaled_0254,0.0
waveform_acc_scaled_0255,0.0
