number,value,state,params_COLSAMPLE_BYTREE,params_LEARNING_RATE,params_MAX_DEPTH,params_MIN_CHILD_SAMPLES,params_NUM_LEAVES,params_N_ESTIMATORS,params_REG_ALPHA,params_REG_LAMBDA,params_SUBSAMPLE,params_WAVEFORM_FEATURE_COUNT,user_attrs_artifact_root,user_attrs_config_params,user_attrs_metrics,user_attrs_model_dir
13,0.003426986203040336,COMPLETE,0.9929849084590611,0.03452815369287996,-1,180,98,2000,0.00010849787688669677,0.0018500260252263892,0.9007957320502075,384,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\lightgbm\trial_0013,"{'N_ESTIMATORS': 2000, 'LEARNING_RATE': 0.03452815369287996, 'NUM_LEAVES': 98, 'MAX_DEPTH': -1, 'MIN_CHILD_SAMPLES': 180, 'SUBSAMPLE': 0.9007957320502075, 'COLSAMPLE_BYTREE': 0.9929849084590611, 'REG_LAMBDA': 0.0018500260252263892, 'REG_ALPHA': 0.00010849787688669677, 'WAVEFORM_FEATURE_COUNT': 384}","{'Samples': 3420, 'R2': 0.7727254600329005, 'MAE': 0.0006745492759692853, 'RMSE': 0.0012824830902657708, 'MAPE': 26.619525654463157, 'Bias': -0.0003587921875953071, 'SelectionScore': 0.003426986203040336}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\lightgbm\trial_0013\model-20260531-181258-99dfe0c9-train20260611-020211
14,0.003122683751656764,COMPLETE,0.9479073907664787,0.03747686787317185,-1,135,127,1250,5.1645800983972174e-05,0.975830274089067,0.9054210333535849,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\lightgbm\trial_0014,"{'N_ESTIMATORS': 1250, 'LEARNING_RATE': 0.03747686787317185, 'NUM_LEAVES': 127, 'MAX_DEPTH': -1, 'MIN_CHILD_SAMPLES': 135, 'SUBSAMPLE': 0.9054210333535849, 'COLSAMPLE_BYTREE': 0.9479073907664787, 'REG_LAMBDA': 0.975830274089067, 'REG_ALPHA': 5.1645800983972174e-05, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.8077101556820458, 'MAE': 0.000637069583162405, 'RMSE': 0.0011796534109831602, 'MAPE': 25.45967028638221, 'Bias': -0.0003611829696504902, 'SelectionScore': 0.003122683751656764}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\lightgbm\trial_0014\model-20260531-181258-99dfe0c9-train20260611-020233
15,0.002940545778121226,COMPLETE,0.9840707309979363,0.06870796671633173,10,191,87,5000,5.487677162627412e-06,0.004268849813825699,0.9194818426280018,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\lightgbm\trial_0015,"{'N_ESTIMATORS': 5000, 'LEARNING_RATE': 0.06870796671633173, 'NUM_LEAVES': 87, 'MAX_DEPTH': 10, 'MIN_CHILD_SAMPLES': 191, 'SUBSAMPLE': 0.9194818426280018, 'COLSAMPLE_BYTREE': 0.9840707309979363, 'REG_LAMBDA': 0.004268849813825699, 'REG_ALPHA': 5.487677162627412e-06, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.8258267022510462, 'MAE': 0.0006199725026840364, 'RMSE': 0.0011227085790298053, 'MAPE': 26.045418809220905, 'Bias': -0.0003435254666170316, 'SelectionScore': 0.002940545778121226}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\lightgbm\trial_0015\model-20260531-181258-99dfe0c9-train20260611-020243
16,0.002913210907609416,COMPLETE,0.9408027960451748,0.059269983737302565,8,184,54,4750,2.9849955224055462e-05,0.0010370466048539265,0.7925367168133853,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\lightgbm\trial_0016,"{'N_ESTIMATORS': 4750, 'LEARNING_RATE': 0.059269983737302565, 'NUM_LEAVES': 54, 'MAX_DEPTH': 8, 'MIN_CHILD_SAMPLES': 184, 'SUBSAMPLE': 0.7925367168133853, 'COLSAMPLE_BYTREE': 0.9408027960451748, 'REG_LAMBDA': 0.0010370466048539265, 'REG_ALPHA': 2.9849955224055462e-05, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.8273978500682683, 'MAE': 0.0006230251940648582, 'RMSE': 0.0011176333546641993, 'MAPE': 26.058587754830544, 'Bias': -0.0003505219037390295, 'SelectionScore': 0.002913210907609416}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\lightgbm\trial_0016\model-20260531-181258-99dfe0c9-train20260611-020301
17,0.00293785497874648,COMPLETE,0.9417875028526681,0.03202276122738405,8,195,86,4500,4.335790677690545e-05,0.006248367224869386,0.7490396619685578,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\lightgbm\trial_0017,"{'N_ESTIMATORS': 4500, 'LEARNING_RATE': 0.03202276122738405, 'NUM_LEAVES': 86, 'MAX_DEPTH': 8, 'MIN_CHILD_SAMPLES': 195, 'SUBSAMPLE': 0.7490396619685578, 'COLSAMPLE_BYTREE': 0.9417875028526681, 'REG_LAMBDA': 0.006248367224869386, 'REG_ALPHA': 4.335790677690545e-05, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.8280331735161148, 'MAE': 0.0006077617465075358, 'RMSE': 0.001115574535328428, 'MAPE': 25.02351632592038, 'Bias': -0.00033947443642342765, 'SelectionScore': 0.00293785497874648}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\lightgbm\trial_0017\model-20260531-181258-99dfe0c9-train20260611-020315
18,0.0033697615217938987,COMPLETE,0.9755145513762228,0.032447625202652645,8,159,20,4500,9.084664918214192e-06,0.004025455379369706,0.8078631538805452,64,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\lightgbm\trial_0018,"{'N_ESTIMATORS': 4500, 'LEARNING_RATE': 0.032447625202652645, 'NUM_LEAVES': 20, 'MAX_DEPTH': 8, 'MIN_CHILD_SAMPLES': 159, 'SUBSAMPLE': 0.8078631538805452, 'COLSAMPLE_BYTREE': 0.9755145513762228, 'REG_LAMBDA': 0.004025455379369706, 'REG_ALPHA': 9.084664918214192e-06, 'WAVEFORM_FEATURE_COUNT': 64}","{'Samples': 3420, 'R2': 0.7760071041812265, 'MAE': 0.0006776392118030682, 'RMSE': 0.0012731904609158985, 'MAPE': 28.251307475168993, 'Bias': -0.00038731627493130175, 'SelectionScore': 0.0033697615217938987}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\lightgbm\trial_0018\model-20260531-181258-99dfe0c9-train20260611-020329
19,0.0031300741049570995,COMPLETE,0.9122932233070478,0.03542217857759024,8,156,70,4250,0.10349013403530222,0.0030020453333925536,0.9468528183494451,256,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\lightgbm\trial_0019,"{'N_ESTIMATORS': 4250, 'LEARNING_RATE': 0.03542217857759024, 'NUM_LEAVES': 70, 'MAX_DEPTH': 8, 'MIN_CHILD_SAMPLES': 156, 'SUBSAMPLE': 0.9468528183494451, 'COLSAMPLE_BYTREE': 0.9122932233070478, 'REG_LAMBDA': 0.0030020453333925536, 'REG_ALPHA': 0.10349013403530222, 'WAVEFORM_FEATURE_COUNT': 256}","{'Samples': 3420, 'R2': 0.8046727653892265, 'MAE': 0.0006439014342790258, 'RMSE': 0.0011889337477871509, 'MAPE': 25.49942210803491, 'Bias': -0.00039828840427439077, 'SelectionScore': 0.0031300741049570995}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\lightgbm\trial_0019\model-20260531-181258-99dfe0c9-train20260611-020339
20,0.0030075837778994457,COMPLETE,0.8402524629875678,0.03979395856452557,16,165,25,3000,2.3535962988100686e-05,0.0017291077826940174,0.7576190069484019,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\lightgbm\trial_0020,"{'N_ESTIMATORS': 3000, 'LEARNING_RATE': 0.03979395856452557, 'NUM_LEAVES': 25, 'MAX_DEPTH': 16, 'MIN_CHILD_SAMPLES': 165, 'SUBSAMPLE': 0.7576190069484019, 'COLSAMPLE_BYTREE': 0.8402524629875678, 'REG_LAMBDA': 0.0017291077826940174, 'REG_ALPHA': 2.3535962988100686e-05, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.8196669311108151, 'MAE': 0.0006215522181861555, 'RMSE': 0.0011423888106276898, 'MAPE': 26.488762658924475, 'Bias': -0.000335428763905147, 'SelectionScore': 0.0030075837778994457}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\lightgbm\trial_0020\model-20260531-181258-99dfe0c9-train20260611-020358
21,0.00299869890673852,COMPLETE,0.8572966457070932,0.025741715203010603,8,194,160,3750,1.036690363447721e-06,0.005080358538800735,0.7433183597372768,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\lightgbm\trial_0021,"{'N_ESTIMATORS': 3750, 'LEARNING_RATE': 0.025741715203010603, 'NUM_LEAVES': 160, 'MAX_DEPTH': 8, 'MIN_CHILD_SAMPLES': 194, 'SUBSAMPLE': 0.7433183597372768, 'COLSAMPLE_BYTREE': 0.8572966457070932, 'REG_LAMBDA': 0.005080358538800735, 'REG_ALPHA': 1.036690363447721e-06, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.8201999590783381, 'MAE': 0.0006218791381918263, 'RMSE': 0.0011406992264026052, 'MAPE': 25.474265628307315, 'Bias': -0.0003428932562108814, 'SelectionScore': 0.00299869890673852}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\lightgbm\trial_0021\model-20260531-181258-99dfe0c9-train20260611-020407
22,0.003061529078745949,COMPLETE,0.9691334401695881,0.017780290406570896,8,158,60,5000,0.01377995727307063,0.019319243715229778,0.6977986504639626,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\lightgbm\trial_0022,"{'N_ESTIMATORS': 5000, 'LEARNING_RATE': 0.017780290406570896, 'NUM_LEAVES': 60, 'MAX_DEPTH': 8, 'MIN_CHILD_SAMPLES': 158, 'SUBSAMPLE': 0.6977986504639626, 'COLSAMPLE_BYTREE': 0.9691334401695881, 'REG_LAMBDA': 0.019319243715229778, 'REG_ALPHA': 0.01377995727307063, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.8149285583264569, 'MAE': 0.0006348914763991655, 'RMSE': 0.0011573000127953577, 'MAPE': 26.402619965023828, 'Bias': -0.0003607633570028576, 'SelectionScore': 0.003061529078745949}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\lightgbm\trial_0022\model-20260531-181258-99dfe0c9-train20260611-020419
