"Name","Version","Entry","SizeGB","SizeMB","LastWriteTime"
"einops","0.8.2","1ux4N1oiHmboQ32HoTp_M","0.0002","0.2","2026/5/20 14:00:22"
"setuptools-rust","1.12.0","1WiOhuzDMSyk7JhVHEaJG","0.0001","0.1","2026/2/26 13:17:56"
"PyMuPDF","1.27.1","1x9Rcu8w95Ev32W4doKI-","0.045","46.1","2026/2/26 12:07:29"
"onnx","1.16.0","2-EVMxliCT-uqonmIuvC9","0.026","26.7","2026/5/20 14:00:49"
"matplotlib","3.8.2","22JNPUvov6Twtexer-gw8","0.0177","18.1","2026/1/30 11:49:53"
"trove-classifiers","2026.4.28.13","2e_CRCFDkANd6UwCvWj03","0.0001","0.1","2026/5/6 19:26:59"
"tomli","2.4.1","2FoZTjLhQpHvoG0Ho-rDe","0","0","2026/5/6 19:26:59"
"tokenizers","0.22.2","2hnAgLADNlKUv09lgDLzu","0.0071","7.3","2026/2/2 19:21:21"
"openseespy","3.7.0.3","2hVVShm8esdMKYOFrfpf7","0","0","2026/2/14 14:22:36"
"json5","0.10.0","2j3esIRbKIT-3-SYPZwHL","0.0001","0.1","2026/5/6 19:02:49"
"cffi","2.0.0","2kIw6AnEx9Y6TvhVwsKjz","0.0005","0.5","2026/2/2 19:21:21"
"multiprocess","0.70.18","2lH1yQ3F-GCkGs-6lHb67","0.0005","0.5","2026/2/26 12:28:04"
"lightning","2.2.1","2njEgQbnfEtkg9nBlL1O-","0.0064","6.5","2026/2/26 13:17:22"
"sox","1.5.0","2oozpq--lD-HS59AfHVP1","0.0002","0.2","2026/5/19 20:55:01"
"groovy","0.1.2","2rSHB8-mb0FGhoJ175cYo","0","0","2026/5/6 19:26:58"
"PyYAML","6.0.3","2RSiLEOV-2vcwQi7Gzcol","0.0004","0.5","2026/1/30 12:26:31"
"absl-py","2.3.1","2t2n1IsVmEMhsqPwIlR14","0.0004","0.5","2026/5/6 19:02:48"
"attrs","25.4.0","2V62I18DmlTs4VulnlMjH","0.0002","0.2","2026/2/2 19:21:21"
"comfyui-workflow-templates-media-image","0.3.75","2vNAGVH3OwUYzxz4-9YDD","0.0168","17.2","2026/2/2 19:21:43"
"PyGithub","2.8.1","2vxo-G--khd2LskGC_I5t","0.0018","1.9","2026/2/2 19:21:22"
"scipy","1.17.1","30g8NqdLBqOrFM1VCSTCj","0.1026","105","2026/5/19 20:55:23"
"oauthlib","3.3.1","31fBT1BiOKnHAvtZBNv0k","0.0005","0.5","2026/5/6 19:02:48"
"llvmlite","0.41.1","3D1HAU-ib-Ap11cx1B_qF","0.0753","77.1","2026/5/6 19:03:14"
"charset-normalizer","3.4.4","3DdTKu0zTGRhlBnrw1Nmo","0.0003","0.3","2026/2/13 17:17:08"
"importlib_resources","6.5.2","3doXBzhERKf4wt5Q9T8jO","0.0001","0.1","2026/1/30 11:49:37"
"editables","0.5","3G9GTAHSvZ9YLM_f1U9GM","0","0","2026/1/30 11:49:41"
"pytorch-lightning","2.6.1","3gJuuO6ZpOxSWlU26yVkT","0.0027","2.8","2026/2/26 12:28:05"
"idna","3.10","3n72UwP0MdD3sfUGHbV8v","0.0003","0.3","2026/1/30 11:49:38"
"pyreadline3","3.5.6","3o1xKRgJF4WPsszHtUmTa","0.0003","0.3","2026/5/20 14:00:22"
"munch","4.0.0","3OE1DdKiSLhk9zokScxW-","0","0","2026/2/26 12:28:04"
"hatchling","1.29.0","3q_bultTVfXKgwwjwyv7a","0.0003","0.3","2026/3/2 19:25:32"
"ruamel.yaml","0.18.14","3WTRnORskJ8kd3j-ImtqY","0.0005","0.5","2026/3/2 19:25:31"
"ffmpeg-python","0.2.0","3X_iuKQsnDd1kqMW1mAmc","0.0001","0.1","2026/5/6 19:02:49"
"numpy","1.26.2","4-SbvSftsUufNhP9ReIOF","0.0542","55.5","2026/5/6 19:02:59"
"stack-data","0.6.3","46x9fF9fvrD6R_sEchHXC","0.0001","0.1","2026/1/30 11:49:39"
"httpx","0.28.1","4ampx-cbVA7Nnexb9aLeB","0.0003","0.3","2026/5/6 19:02:51"
"cryptography","46.0.4","4Asu-2bhfiM7wIIlOpp3A","0.0089","9.1","2026/2/1 14:03:39"
"granite-speech-asr","0.1.0","4BAw9N7ga2co_yoZD0AkE","0","0","2026/5/19 20:19:00"
"safehttpx","0.1.6","4FDugtIn2KELeEcM8SGDv","0","0","2026/5/6 19:26:58"
"semantic-version","2.10.0","4FlTVXxbAiRBCwt16SIBe","0.0001","0.1","2026/1/30 11:49:40"
"packaging","26.2","4gCAMxY8H3HQ8ean66gOb","0.0004","0.4","2026/5/6 19:26:59"
"safetensors","0.7.0","4OzI6rvYbMe1q3k3kTtWx","0.0007","0.8","2026/5/19 20:02:04"
"click","8.3.1","4T-DpyVgcergnYXGK65pO","0.0004","0.4","2026/2/2 19:21:21"
"wetext","0.1.0","4tKlIPH7EE8UTtsFiNPhl","0.0107","11","2026/5/6 19:02:51"
"torch","2.11.0+cu128","4xYaqf3704ggMBaOQK3o0","4.073","4170.8","2026/4/23 14:28:11"
"gradio_client","1.13.0","4yOUweOx6MXbrstWv0fIT","0.0009","0.9","2026/1/30 11:49:41"
"typer-slim","0.21.1","4ZKf5efMvEPxmnIg6murt","0.0002","0.2","2026/2/2 19:21:21"
"httptools","0.7.1","53a-c8OTU0IT-Wkhf02lo","0.0002","0.2","2026/5/19 20:02:05"
"cn2an","0.5.22","5aI3sxpILdPFjdOw-uG7O","0.0004","0.4","2026/1/30 11:49:38"
"pandas","3.0.0","5AmJXkKZi7SMzHLA9SvMP","0.0328","33.6","2026/2/9 16:58:56"
"transformers","4.51.3","5AoeqM90vmDDVAcarFZe2","0.0433","44.3","2026/5/20 14:00:45"
"charset-normalizer","3.4.7","5dew1nmjGrdJQ__kZBkFA","0.0004","0.4","2026/5/20 14:00:21"
"kornia","0.8.2","5EGulW3vz_MGmImI-SKh_","0.0033","3.4","2026/2/2 19:21:25"
"spandrel","0.4.1","5eodneripY8W-p_NvquI4","0.0011","1.1","2026/2/2 19:21:21"
"qwen-asr","0.0.6","5EQQNGWBcrQDxoz__K-vr","0.0005","0.5","2026/5/19 20:55:03"
"pyloudnorm","0.1.1","5F47iu4xQTnAevVOTZEzm","0","0","2026/5/6 19:02:48"
"pyphen","0.17.2","5KluRADJ8IMG5BbRYeTeh","0.0058","6","2026/5/6 19:02:53"
"pathspec","1.1.1","5L7XUkWSlANzSTk5lEON2","0.0002","0.2","2026/5/6 19:26:59"
"wcwidth","0.2.13","5NIZ6Mu7BzpYAyprBWGyM","0.0005","0.5","2026/5/6 19:02:49"
"pooch","1.9.0","5qfuqNUl5yr2ZMEvD605V","0.0003","0.3","2026/5/19 20:55:02"
"pyarrow","18.1.0","5v9lCDJRiO3cMqQ301KHG","0.0733","75","2026/5/20 14:00:57"
"fire","0.7.1","63MDzDQMhK432YV3Xtgap","0.0004","0.4","2026/1/30 11:49:39"
"pydantic","2.13.0","64pgmQjf1Uy-Y9yjQ1AeG","0.0018","1.8","2026/4/14 18:27:22"
"setuptools","80.9.0","67R5OAxcL426d_cKosZ3c","0.0039","4","2026/1/30 11:49:41"
"tokenizers","0.15.2","6b89bmDxjhl93N7Xkj3yl","0.0057","5.9","2026/2/26 12:29:35"
"pillow","12.2.0","6fNT6es0OspwuBfOyqSAG","0.0137","14","2026/5/28 15:52:51"
"nagisa","0.2.11","6inqEy1lWz3vqbkw9nZeK","0.0444","45.4","2026/5/19 20:55:19"
"prompt_toolkit","3.0.52","6kbGzEuDSANMmlgvvGL6P","0.0013","1.3","2026/5/6 19:02:46"
"argbind","0.3.9","6LwUi7QFery9wfI4F-pZf","0","0","2026/5/6 19:02:51"
"MarkupSafe","3.0.2","6nfjgXcFmMi0Ss48cV0cN","0","0","2026/1/30 11:49:40"
"pywin32-ctypes","0.2.3","6Sp4nW4bqPGNV2TLpFkpT","0.0001","0.1","2026/4/16 13:18:11"
"h11","0.16.0","6yq6wioum3y-w9Or4eH3R","0.0001","0.1","2026/5/6 19:02:51"
"psutil","7.0.0","74QnZ6kHUSJ_QApHUUnVQ","0.0009","0.9","2026/1/30 11:49:38"
"transformers","5.2.0","7ba-JOENjS6oqT0A8Exi0","0.0408","41.8","2026/2/26 12:28:13"
"requests","2.32.5","7BBYMC1sVQayx35KElcut","0.0002","0.2","2026/1/30 11:49:38"
"idna","3.11","7Czd0u2VIQJShqi0KTkSd","0.0003","0.3","2026/2/13 17:17:08"
"pathspec","1.0.4","7FWye1iORrvgjX4ZJZn1J","0.0001","0.1","2026/3/2 19:25:32"
"pydantic_core","2.41.5","7nBTmyOA0FIXJEcsA9qxR","0.0052","5.4","2026/2/1 14:03:19"
"matplotlib","3.10.9","7nvkDl1QoTukxBmrMml0e","0.019","19.5","2026/5/28 15:52:49"
"Flask","3.1.3","7TVxmaxretw_ZQt2HhSbG","0.0003","0.3","2026/4/15 11:35:42"
"docstring_parser","0.17.0","7uRi3_CwZHRh0c_IUGELR","0.0002","0.2","2026/5/6 19:02:49"
"pydantic","2.11.9","7XwLoMhFIxRitMPrmQMpx","0.0017","1.7","2026/1/30 11:49:41"
"huggingface_hub","1.3.5","7YeHpwoj3E48MMGtzCSmU","0.002","2.1","2026/2/2 19:21:23"
"cffi","2.0.0","7ZgT40dpOshgY9PTwxbDu","0.0005","0.5","2026/5/6 19:02:47"
"joblib","1.5.2","8-1mPiuxUBaEDMndIOZQo","0.0009","0.9","2026/1/30 11:49:38"
"certifi","2026.1.4","82v7tS0a0IHLDQ50rSqye","0.0003","0.3","2026/2/13 17:17:09"
"typing_extensions","4.15.0","8bp-ouJSxw7MVKM6IIZjy","0.0002","0.2","2026/5/20 13:59:26"
"rich","14.1.0","8BZP97QTQItLHK-OgxWpv","0.0009","0.9","2026/5/6 19:02:45"
"xxhash","3.6.0","8DsAcrCa98KV04TCniQEb","0.0001","0.1","2026/2/26 12:28:03"
"propcache","0.5.2","8grjvGcN1_ZflKyc9P1aQ","0.0001","0.1","2026/5/20 14:00:23"
